Name,Ticker,Weight,Country,Sector
Bank of Kyoto Ltd.,None,0.00048240000000000007,None,None
Altice Europe NV,None,0.00048150000000000005,None,None
Inmobiliaria Colonial Socimi SA,None,0.00048150000000000005,None,None
Mapletree Commercial Trust,None,0.0004806,None,None
Investment AB Latour Class B,None,0.0004806,None,None
Morinaga Milk Industry Co. Ltd.,None,0.0004779,None,None
Guangzhou Baiyun International Airport Company Limited Class A,None,0.00047745,China,Industrials
Fiberhome Telecommunication Technologies Co. Ltd. Class A,None,0.00047538,China,Information Technology
Sumitomo Dainippon Pharma Co. Ltd.,None,0.0004743000000000001,None,None
FP Corp.,None,0.00047340000000000007,None,None
Ezaki Glico Co. Ltd.,None,0.00047340000000000007,None,None
Suzuken Co. Ltd./Aichi Japan,None,0.00047250000000000005,None,None
Inner Mongolia MengDian HuaNeng Thermal Power Corporation Limited Class A,None,0.00047097,China,Utilities
Changjiang Securities Co. Ltd Class A,None,0.00047052000000000004,China,Financials
Hyundai Engineering & Construction Co. Ltd.,None,0.0004698,None,None
Beijing TongRenTang Co. Ltd. Class A,None,0.0004695300000000001,China,Health Care
IGM Financial Inc.,None,0.0004671000000000001,None,None
Topchoice Medical Corp. Class A,None,0.00046701,China,Health Care
Hankook Tire & Technology Co. Ltd.,None,0.00046620000000000006,None,None
Yamazaki Baking Co. Ltd.,None,0.00046620000000000006,None,None
Yaoko Co. Ltd.,None,0.00046620000000000006,None,None
Ashmore Group plc,None,0.00046620000000000006,None,None
Shanghai 2345 Network Holding Group Co. Ltd. Class A,None,0.00046611,China,Information Technology
Central Retail Corporation Public Company Limited NVDR,None,0.0004635,Thailand,Consumer Discretionary
Fancl Corp.,None,0.0004626,None,None
SJM Holdings Ltd.,None,0.0004626,None,None
Swire Properties Ltd.,None,0.00046080000000000003,None,None
Electric Power Development Co. Ltd.,None,0.0004581000000000001,None,None
Relo Group Inc.,None,0.0004563000000000001,None,None
Guosen Securities Co. Ltd. Class A,None,0.00045558,China,Financials
Leonardo SPA,None,0.00045540000000000006,None,None
Incitec Pivot Ltd.,None,0.00045450000000000004,None,None
Asics Corp.,None,0.00045450000000000004,None,None
City Developments Ltd.,None,0.00045450000000000004,None,None
Nihon Kohden Corp.,None,0.00045360000000000013,None,None
Hotel Shilla Co. Ltd.,None,0.0004527,None,None
voestalpine AG,None,0.0004518000000000001,None,None
Justsystems Corp.,None,0.0004518000000000001,None,None
Sundrug Co. Ltd.,None,0.00045090000000000006,None,None
Hengtong Optic-Electric Co. Ltd. Class A,None,0.00045063000000000004,China,Information Technology
Hyundai Steel Co.,None,0.00045,None,None
Telenet Group Holding NV,None,0.00044909999999999997,None,None
Ebara Corp.,None,0.00044819999999999994,None,None
Dong-E-E-Jiao Co. Ltd. Class A,None,0.00044748,China,Health Care
Buzzi Unicem SPA,None,0.0004473000000000001,None,None
SG Micro Corp. Class A,None,0.00044622000000000005,China,Information Technology
Fujian Sunner Development Co. Ltd. Class A,None,0.00044577000000000006,China,Consumer Staples
House Foods Group Inc.,None,0.00044550000000000004,None,None
Alumina Ltd.,None,0.0004446,None,None
Mebuki Financial Group Inc.,None,0.0004446,None,None
SCSK Corp.,None,0.0004446,None,None
Sealand Securities Co. Ltd. Class A,None,0.00044451000000000007,China,Financials
LG Uplus Corp.,None,0.0004437000000000001,None,None
THK Co. Ltd.,None,0.0004428000000000001,None,None
A2A Spa,None,0.0004428000000000001,None,None
Nihon Unisys Ltd.,None,0.0004428000000000001,None,None
SHO-BOND Holdings Co. Ltd.,None,0.00044010000000000007,None,None
Seb SA,None,0.00043920000000000005,None,None
Guoyuan Securities Company Limited Class A,None,0.00043848,China,Financials
Huadong Medicine Co. Ltd. Class A,None,0.0004382100000000001,China,Health Care
Minth Group Ltd.,None,0.0004374,None,None
Nikon Corp.,None,0.0004374,None,None
Joincare Pharmaceutical Group Industry Co. Ltd. Class A,None,0.00043704000000000003,China,Health Care
Salmar ASA,None,0.00043650000000000004,None,None
ZOZO Inc.,None,0.00043650000000000004,None,None
Tianma Microelectronics Co. Ltd Class A,None,0.00043632,China,Information Technology
Suzhou Gold Mantis Construction and Decoration Co. Ltd. Class A,None,0.0004360500000000001,China,Industrials
Goldwin Inc.,None,0.0004347,None,None
IRB Brasil Resseguros SA TEMP,None,0.0004343400000000001,Brazil,Financials
Gotion High-tech Co. Ltd. Class A,None,0.00043397999999999993,China,Industrials
Shanghai Yuyuan Tourist Mart Group Co. Ltd. Class A,None,0.00043389000000000004,China,Consumer Discretionary
Lpp SA,None,0.0004338000000000001,None,None
K's Holdings Corp.,None,0.0004338000000000001,None,None
Seino Holdings Co. Ltd.,None,0.00043290000000000006,None,None
Shanghai Electric Group Company Limited Class H,None,0.00043155000000000005,China,Industrials
AK Medical Holdings Ltd.,None,0.0004311,China,Health Care
Daelim Industrial Co. Ltd.,None,0.00043020000000000005,None,None
Challenger Ltd.,None,0.00043020000000000005,None,None
Altium Ltd.,None,0.00043020000000000005,None,None
Shinsei Bank Ltd.,None,0.0004293,None,None
Sumitomo Heavy Industries Ltd.,None,0.0004266,None,None
SES SA Class A,None,0.0004266,None,None
Shanghai Zhangjiang Hi-Tech Park Development Co. Ltd. Class A,None,0.0004266,China,Real Estate
Hyundai Glovis Co. Ltd.,None,0.0004257000000000001,None,None
Japan Post Insurance Co. Ltd.,None,0.0004257000000000001,None,None
Hang Lung Group Ltd.,None,0.0004257000000000001,None,None
Sugi Holdings Co. Ltd.,None,0.0004248000000000001,None,None
Swire Pacific Ltd. Class B,None,0.0004221,None,None
Alps Alpine Co. Ltd.,None,0.0004221,None,None
Teijin Ltd.,None,0.00042120000000000005,None,None
Hubei Biocause Pharmaceutical Co. Ltd. Class A,None,0.00042111000000000004,China,Financials
Suofeiya Home Collection Co. Ltd Class A,None,0.0004190400000000001,China,Consumer Discretionary
Hanwha Solutions Corp.,None,0.00041850000000000004,None,None
Denka Co. Ltd.,None,0.00041850000000000004,None,None
