Holding name,% of funds,Market value,Shares
M&T Bank Corp.,"=""0.05045%""","$13,035,876","123,038.00"
FMC Corp.,"=""0.05030%""","$12,996,428","122,550.00"
Tiffany & Co.,"=""0.05013%""","$12,953,449","103,330.00"
International Paper Co.,"=""0.05002%""","$12,925,007","371,515.00"
ABIOMED Inc.,"=""0.04988%""","$12,889,622","42,974.00"
Mid-America Apartment Communities Inc.,"=""0.04985%""","$12,880,148","108,064.00"
NVR Inc.,"=""0.04980%""","$12,867,311","3,274.00"
Waters Corp.,"=""0.04966%""","$12,832,056","60,202.00"
STERIS plc,"=""0.04947%""","$12,783,170","80,080.00"
Alliant Energy Corp.,"=""0.04946%""","$12,779,359","237,314.00"
International Flavors & Fragrances Inc.,"=""0.04925%""","$12,726,240","101,042.00"
Extra Space Storage Inc.,"=""0.04906%""","$12,677,648","122,679.00"
PerkinElmer Inc.,"=""0.04846%""","$12,522,888","105,314.00"
Xylem Inc./NY,"=""0.04819%""","$12,451,629","170,617.00"
Genuine Parts Co.,"=""0.04800%""","$12,402,567","137,577.00"
Atmos Energy Corp.,"=""0.04780%""","$12,350,909","116,529.00"
Varian Medical Systems Inc.,"=""0.04757%""","$12,290,904","86,119.00"
Martin Marietta Materials Inc.,"=""0.04746%""","$12,263,399","59,192.00"
Boston Properties Inc.,"=""0.04738%""","$12,243,282","137,426.00"
Hess Corp.,"=""0.04730%""","$12,221,992","248,364.00"
Western Digital Corp.,"=""0.04700%""","$12,143,727","281,757.00"
Hewlett Packard Enterprise Co.,"=""0.04683%""","$12,102,081","1,226,148.00"
Nucor Corp.,"=""0.04664%""","$12,051,312","287,278.00"
Leidos Holdings Inc.,"=""0.04649%""","$12,011,856","126,228.00"
Brown-Forman Corp. Class B,"=""0.04648%""","$12,009,688","173,200.00"
CH Robinson Worldwide Inc.,"=""0.04638%""","$11,984,445","127,875.00"
Halliburton Co.,"=""0.04612%""","$11,917,057","831,616.00"
IDEX Corp.,"=""0.04595%""","$11,874,457","72,045.00"
J M Smucker Co.,"=""0.04586%""","$11,849,931","108,367.00"
ONEOK Inc.,"=""0.04528%""","$11,700,681","419,229.00"
Synchrony Financial,"=""0.04371%""","$11,295,285","510,406.00"
NortonLifeLock Inc.,"=""0.04358%""","$11,260,928","524,985.00"
Cincinnati Financial Corp.,"=""0.04349%""","$11,237,272","144,197.00"
KeyCorp,"=""0.04339%""","$11,211,419","933,507.00"
Celanese Corp. Class A,"=""0.04310%""","$11,136,690","114,575.00"
Omnicom Group Inc.,"=""0.04299%""","$11,108,785","206,752.00"
SVB Financial Group,"=""0.04241%""","$10,958,729","48,864.00"
Wabtec Corp.,"=""0.04158%""","$10,744,442","172,768.00"
United Rentals Inc.,"=""0.04158%""","$10,743,836","69,150.00"
Jacobs Engineering Group Inc.,"=""0.04141%""","$10,700,756","125,375.00"
Gartner Inc.,"=""0.04096%""","$10,582,933","84,908.00"
Teledyne Technologies Inc.,"=""0.04094%""","$10,579,616","34,495.00"
E*TRADE Financial Corp.,"=""0.04094%""","$10,578,336","208,358.00"
PulteGroup Inc.,"=""0.04086%""","$10,557,304","242,140.00"
Bio-Rad Laboratories Inc. Class A,"=""0.04085%""","$10,554,488","20,108.00"
Expedia Group Inc.,"=""0.04079%""","$10,540,535","130,114.00"
JB Hunt Transport Services Inc.,"=""0.04050%""","$10,466,390","80,884.00"
Principal Financial Group Inc.,"=""0.04009%""","$10,359,497","244,155.00"
Ulta Beauty Inc.,"=""0.04005%""","$10,347,931","53,619.00"
Ingersoll Rand Inc.,"=""0.04000%""","$10,335,616","327,180.00"
UDR Inc.,"=""0.03926%""","$10,145,448","280,261.00"
Citizens Financial Group Inc.,"=""0.03914%""","$10,113,623","407,643.00"
