FTSE Emerging Markets UCITS ETF - (USD) Accumulating (VFEA)
As of 31 July 2020
Holding name,% of funds,Market value,Shares
Dr Reddy's Laboratories Ltd.,"=""0.08639%""","$1,799,295","29,774.00"
iQIYI Inc. ADR,"=""0.08567%""","$1,784,237","84,561.00"
China Tourism Group Duty Free Corp. Ltd. Class A,"=""0.08528%""","$1,776,166","50,999.00"
Ayala Corp.,"=""0.08457%""","$1,761,405","119,150.00"
Banque Saudi Fransi,"=""0.08408%""","$1,751,126","217,825.00"
Anglo American Platinum Ltd.,"=""0.08376%""","$1,744,494","22,779.00"
Shanghai Commercial & Savings Bank Ltd.,"=""0.08364%""","$1,742,025","1,205,000.00"
Guangdong Investment Ltd.,"=""0.08362%""","$1,741,447","1,078,000.00"
Mahindra & Mahindra Ltd.,"=""0.08311%""","$1,730,996","213,538.00"
Cemex SAB de CV,"=""0.08181%""","$1,703,886","5,544,374.00"
Suzano SA,"=""0.08172%""","$1,701,953","210,953.00"
Taishin Financial Holding Co. Ltd.,"=""0.08128%""","$1,692,815","3,714,620.00"
CITIC Ltd.,"=""0.08112%""","$1,689,411","1,801,000.00"
BIM Birlesik Magazalar AS,"=""0.08057%""","$1,677,946","163,908.00"
Enel Americas SA,"=""0.08041%""","$1,674,710","10,791,515.00"
State Bank of India,"=""0.08017%""","$1,669,741","652,481.00"
B2W Cia Digital,"=""0.07982%""","$1,662,339","72,526.00"
Rumo SA,"=""0.07930%""","$1,651,578","386,939.00"
Vodacom Group Ltd.,"=""0.07911%""","$1,647,652","218,465.00"
Banco BTG Pactual SA,"=""0.07868%""","$1,638,723","98,714.00"
Sasol Ltd.,"=""0.07850%""","$1,634,872","204,344.00"
Telefonica Brasil SA Preference Shares,"=""0.07808%""","$1,626,144","160,786.00"
Weichai Power Co. Ltd. Class H,"=""0.07794%""","$1,623,200","752,400.00"
Kingsoft Corp. Ltd.,"=""0.07778%""","$1,619,974","318,254.00"
Equatorial Energia SA,"=""0.07772%""","$1,618,711","330,070.00"
China Resources Gas Group Ltd.,"=""0.07763%""","$1,616,681","328,000.00"
Sime Darby Plantation Bhd.,"=""0.07707%""","$1,605,024","1,306,200.00"
Win Semiconductors Corp.,"=""0.07690%""","$1,601,529","148,000.00"
Bank of Communications Co. Ltd. Class H,"=""0.07675%""","$1,598,449","2,881,000.00"
Advantech Co. Ltd.,"=""0.07667%""","$1,596,807","151,384.00"
Power Grid Corp. of India Ltd.,"=""0.07661%""","$1,595,556","669,476.00"
Titan Co. Ltd.,"=""0.07584%""","$1,579,493","113,267.00"
SBI Life Insurance Co. Ltd.,"=""0.07581%""","$1,578,918","129,400.00"
China Minsheng Banking Corp. Ltd. Class H,"=""0.07578%""","$1,578,170","2,506,380.00"
JOYY Inc. ADR,"=""0.07578%""","$1,578,281","19,773.00"
Industries Qatar QSC,"=""0.07576%""","$1,577,731","734,593.00"
Haier Electronics Group Co. Ltd.,"=""0.07502%""","$1,562,456","451,000.00"
Tech Mahindra Ltd.,"=""0.07446%""","$1,550,722","170,195.00"
Hansoh Pharmaceutical Group Co. Ltd.,"=""0.07430%""","$1,547,444","358,000.00"
Magnit PJSC,"=""0.07409%""","$1,543,133","25,125.00"
Pegatron Corp.,"=""0.07393%""","$1,539,630","731,000.00"
Banco de Chile,"=""0.07390%""","$1,538,982","16,026,971.00"
Accton Technology Corp.,"=""0.07335%""","$1,527,676","195,000.00"
China Telecom Corp. Ltd. Class H,"=""0.07325%""","$1,525,455","5,118,000.00"
Jbs SA,"=""0.07304%""","$1,521,119","367,625.00"
Saudi Arabian Fertilizer Co.,"=""0.07285%""","$1,517,115","72,946.00"
PTT Exploration & Production PCL (Foreign),"=""0.07271%""","$1,514,258","518,883.00"
Grupo Bimbo SAB de CV Class A,"=""0.07255%""","$1,510,996","833,301.00"
Petronas Chemicals Group Bhd.,"=""0.07225%""","$1,504,626","1,032,300.00"
Larsen & Toubro Ltd.,"=""0.07215%""","$1,502,618","123,066.00"
China Development Financial Holding Corp.,"=""0.07208%""","$1,501,224","5,090,000.00"
Luxshare Precision Industry Co. Ltd. Class A,"=""0.07202%""","$1,499,941","178,622.00"
Avenue Supermarts Ltd.,"=""0.07190%""","$1,497,434","54,291.00"
Charoen Pokphand Foods PCL (Foreign),"=""0.07154%""","$1,489,838","1,376,500.00"
Chang Hwa Commercial Bank Ltd.,"=""0.07151%""","$1,489,339","2,296,286.00"
Dialog Group Bhd.,"=""0.07130%""","$1,484,893","1,661,200.00"
GSX Techedu Inc. ADR,"=""0.07117%""","$1,482,244","16,632.00"
Agricultural Bank of China Ltd. Class A,"=""0.07046%""","$1,467,405","3,169,800.00"
China CITIC Bank Corp. Ltd. Class H,"=""0.07025%""","$1,463,111","3,354,854.00"
Cia de Saneamento Basico do Estado de Sao Paulo,"=""0.07016%""","$1,461,111","125,000.00"
Empresas COPEC SA,"=""0.06996%""","$1,456,969","178,441.00"
