FTSE Emerging Markets UCITS ETF - (USD) Accumulating (VFEA)
As of 31 July 2020
Holding name,% of funds,Market value,Shares
Industrial Securities Co. Ltd. Class A,"=""0.01008%""","$209,878","178,800.00"
Surya Citra Media Tbk PT,"=""0.01000%""","$208,240","2,366,000.00"
Plaza SA,"=""0.00999%""","$208,032","117,593.00"
Yantai Changyu Pioneer Wine Co. Ltd. Class B,"=""0.00998%""","$207,896","103,020.00"
China Greatwall Technology Group Co. Ltd. Class A,"=""0.00995%""","$207,202","79,000.00"
Inspur Electronic Information Industry Co. Ltd. Class A,"=""0.00995%""","$207,241","38,092.00"
Arcelik AS,"=""0.00994%""","$206,997","62,597.00"
Gillette India Ltd.,"=""0.00990%""","$206,235","3,075.00"
Yunnan Energy New Material Co. Ltd. Class A,"=""0.00984%""","$204,959","17,907.00"
Shenzhen Sunway Communication Co. Ltd. Class A,"=""0.00982%""","$204,522","25,800.00"
United Development Co. QSC,"=""0.00981%""","$204,328","636,951.00"
Zhejiang Huahai Pharmaceutical Co. Ltd. Class A,"=""0.00979%""","$203,788","36,932.00"
Meinian Onehealth Healthcare Holdings Co. Ltd. Class A,"=""0.00978%""","$203,722","92,360.00"
Banco do Estado do Rio Grande do Sul SA Preference Shares,"=""0.00975%""","$202,979","74,100.00"
Bank of Hangzhou Co. Ltd. Class A,"=""0.00974%""","$202,810","149,900.00"
Petkim Petrokimya Holding AS,"=""0.00971%""","$202,131","360,811.00"
WuXi AppTec Co. Ltd. Class H,"=""0.00966%""","$201,171","13,360.00"
Turkiye Sise ve Cam Fabrikalari AS,"=""0.00960%""","$199,867","241,763.00"
AVIC Jonhon Optronic Technology Co. Ltd. Class A,"=""0.00959%""","$199,735","32,000.00"
Beijing New Building Materials plc Class A,"=""0.00957%""","$199,207","45,098.00"
Banco del Bajio SA,"=""0.00957%""","$199,344","257,200.00"
Shandong Chenming Paper Holdings Ltd. Class B,"=""0.00956%""","$199,162","539,700.00"
Shenzhen Expressway Co. Ltd. Class H,"=""0.00952%""","$198,333","208,000.00"
Jafron Biomedical Co. Ltd. Class A,"=""0.00949%""","$197,564","18,780.00"
Shenwan Hongyuan Group Co. Ltd. Class H,"=""0.00948%""","$197,340","619,200.00"
Wangfujing Group Co. Ltd. Class A,"=""0.00944%""","$196,575","22,400.00"
Magyar Telekom Telecommunications plc,"=""0.00938%""","$195,335","154,615.00"
Lomon Billions Group Co. Ltd. Class A,"=""0.00936%""","$195,000","57,700.00"
CSSC Offshore and Marine Engineering Group Co. Ltd. Class A,"=""0.00935%""","$194,696","36,100.00"
Jiangsu King's Luck Brewery JSC Ltd. Class A,"=""0.00934%""","$194,515","31,221.00"
Winning Health Technology Group Co. Ltd. Class A,"=""0.00934%""","$194,537","58,810.00"
Dawning Information Industry Co. Ltd. Class A,"=""0.00929%""","$193,492","30,420.00"
Beijing Dabeinong Technology Group Co. Ltd. Class A,"=""0.00927%""","$193,022","124,700.00"
Nippon Life India Asset Management Ltd.,"=""0.00924%""","$192,510","54,174.00"
Shandong Gold Mining Co. Ltd. Class H,"=""0.00921%""","$191,805","61,300.00"
Cholamandalam Investment and Finance Co. Ltd.,"=""0.00920%""","$191,682","70,816.00"
Alsea SAB de CV,"=""0.00918%""","$191,207","195,723.00"
Torrent Power Ltd.,"=""0.00918%""","$191,170","43,945.00"
Yealink Network Technology Corp. Ltd. Class A,"=""0.00916%""","$190,731","21,147.00"
Greenland Holdings Corp. Ltd. Class A,"=""0.00912%""","$189,928","162,200.00"
Air China Ltd. Class A,"=""0.00911%""","$189,710","193,800.00"
Huadong Medicine Co. Ltd. Class A,"=""0.00901%""","$187,664","47,100.00"
Saudi Research & Marketing Group,"=""0.00900%""","$187,397","11,973.00"
XCMG Construction Machinery Co. Ltd. Class A,"=""0.00898%""","$187,026","205,500.00"
China Coal Energy Co. Ltd. Class H,"=""0.00897%""","$186,793","754,000.00"
Metallurgical Corp. of China Ltd. Class A,"=""0.00897%""","$186,887","465,700.00"
Chaozhou Three-Circle Group Co. Ltd. Class A,"=""0.00896%""","$186,637","45,500.00"
Cementos Argos SA,"=""0.00892%""","$185,689","189,156.00"
Dalmia Bharat Ltd.,"=""0.00892%""","$185,810","18,275.00"
Habib Bank Ltd.,"=""0.00887%""","$184,730","252,200.00"
Embotelladora Andina SA Preference Shares,"=""0.00885%""","$184,359","73,442.00"
Mahindra & Mahindra Financial Services Ltd.,"=""0.00880%""","$183,333","105,302.00"
Dallah Healthcare Co.,"=""0.00879%""","$183,091","12,716.00"
Yapi ve Kredi Bankasi AS,"=""0.00878%""","$182,768","596,087.00"
Jinke Properties Group Co. Ltd. Class A,"=""0.00876%""","$182,344","146,237.00"
SDIC Capital Co. Ltd. Class A,"=""0.00875%""","$182,332","85,900.00"
China National Software & Service Co. Ltd. Class A,"=""0.00875%""","$182,143","13,400.00"
3M India Ltd.,"=""0.00874%""","$182,007",646.00
Tianfeng Securities Co. Ltd. Class A,"=""0.00874%""","$181,996","176,857.00"
Liberty Holdings Ltd.,"=""0.00873%""","$181,787","45,027.00"
Songcheng Performance Development Co. Ltd. Class A,"=""0.00869%""","$181,047","67,660.00"
Telkom SA SOC Ltd.,"=""0.00868%""","$180,707","106,294.00"
El Puerto de Liverpool SAB de CV,"=""0.00867%""","$180,539","73,690.00"
Emaar Development PJSC,"=""0.00867%""","$180,504","320,299.00"
China Jushi Co. Ltd. Class A,"=""0.00863%""","$179,697","90,592.00"
Bata India Ltd.,"=""0.00861%""","$179,413","10,585.00"
CVC Brasil Operadora e Agencia de Viagens SA,"=""0.00859%""","$179,000","44,800.00"
Angel Yeast Co. Ltd. Class A,"=""0.00857%""","$178,510","18,900.00"
Wens Foodstuffs Group Co. Ltd.,"=""0.00857%""","$178,583","52,464.00"
Bloomberry Resorts Corp.,"=""0.00857%""","$178,562","1,392,900.00"
Zhejiang Huayou Cobalt Co. Ltd. Class A,"=""0.00853%""","$177,726","29,000.00"
China Spacesat Co. Ltd. Class A,"=""0.00853%""","$177,732","35,100.00"
NanJi E-Commerce Co. Ltd. Class A,"=""0.00852%""","$177,446","63,200.00"
Steel Authority of India Ltd.,"=""0.00850%""","$176,935","389,323.00"
Shanghai Electric Group Co. Ltd. Class A,"=""0.00847%""","$176,337","223,700.00"
SooChow Securities Co. Ltd. Class A,"=""0.00843%""","$175,554","107,258.00"
Zoomlion Heavy Industry Science and Technology Co. Ltd. Class A,"=""0.00842%""","$175,328","148,100.00"
Sichuan Chuantou Energy Co. Ltd. Class A,"=""0.00839%""","$174,787","127,700.00"
GD Power Development Co. Ltd. Class A,"=""0.00839%""","$174,638","597,300.00"
Industrias Bachoco SAB de CV Class B,"=""0.00836%""","$174,110","58,900.00"
DAMAC Properties Dubai Co. PJSC,"=""0.00836%""","$174,171","710,050.00"
Changjiang Securities Co. Ltd. Class A,"=""0.00834%""","$173,628","140,214.00"
Cosan Logistica SA,"=""0.00833%""","$173,404","44,600.00"
Fuyao Glass Industry Group Co. Ltd. Class A,"=""0.00831%""","$173,105","49,500.00"
BBMG Corp. Class A,"=""0.00829%""","$172,581","372,800.00"
China Southern Airlines Co. Ltd. Class A,"=""0.00826%""","$171,956","225,100.00"
Shanghai International Port Group Co. Ltd. Class A,"=""0.00825%""","$171,874","265,900.00"
OBI Pharma Inc.,"=""0.00824%""","$171,695","42,989.00"
Alibaba Group Holding Ltd.,"=""0.00823%""","$171,402","5,400.00"
China Northern Rare Earth Group High-Tech Co. Ltd. Class A,"=""0.00822%""","$171,283","96,300.00"
China Merchants Energy Shipping Co. Ltd. Class A,"=""0.00819%""","$170,509","190,349.00"
Tofas Turk Otomobil Fabrikasi AS,"=""0.00819%""","$170,647","46,854.00"
Beijing Shunxin Agriculture Co. Ltd. Class A,"=""0.00818%""","$170,281","19,200.00"
Vale Indonesia Tbk PT,"=""0.00817%""","$170,204","726,600.00"
GMR Infrastructure Ltd.,"=""0.00817%""","$170,073","584,992.00"
Sime Darby Property Bhd.,"=""0.00815%""","$169,811","1,152,000.00"
Zhejiang Longsheng Group Co. Ltd. Class A,"=""0.00813%""","$169,253","79,900.00"
Power Construction Corp. of China Ltd. Class A,"=""0.00813%""","$169,371","280,700.00"
LT Group Inc.,"=""0.00813%""","$169,248","1,109,000.00"
Alliance Global Group Inc.,"=""0.00811%""","$168,840","1,455,700.00"
Zhejiang Chint Electrics Co. Ltd. Class A,"=""0.00811%""","$169,003","37,198.00"
Unisplendour Corp. Ltd. Class A,"=""0.00811%""","$168,866","26,900.00"
Liaoning Cheng Da Co. Ltd. Class A,"=""0.00810%""","$168,647","42,100.00"
Inner Mongolia BaoTou Steel Union Co. Ltd. Class A,"=""0.00807%""","$168,101","1,002,464.00"
Perfect World Co. Ltd./China Class A,"=""0.00804%""","$167,497","30,450.00"
Sihuan Pharmaceutical Holdings Group Ltd.,"=""0.00794%""","$165,335","1,622,000.00"
Anhui Gujing Distillery Co. Ltd. Class A,"=""0.00791%""","$164,773","5,400.00"
Wan Hai Lines Ltd.,"=""0.00790%""","$164,529","277,000.00"
Latam Airlines Group SA,"=""0.00787%""","$163,838","95,317.00"
Sun TV Network Ltd.,"=""0.00785%""","$163,386","31,593.00"
AES Gener SA,"=""0.00784%""","$163,318","973,337.00"
TAV Havalimanlari Holding AS,"=""0.00783%""","$163,056","68,557.00"
O2 Czech Republic AS,"=""0.00782%""","$162,875","16,908.00"
Ninety One Ltd.,"=""0.00781%""","$162,630","56,518.00"
Lens Technology Co. Ltd. Class A,"=""0.00780%""","$162,431","34,500.00"
Pakistan Petroleum Ltd.,"=""0.00779%""","$162,319","271,480.00"
Sinotrans Ltd. Class H,"=""0.00777%""","$161,787","774,000.00"
Adani Power Ltd.,"=""0.00774%""","$161,230","340,736.00"
Tekfen Holding AS,"=""0.00771%""","$160,493","73,213.00"
Tsingtao Brewery Co. Ltd. Class A,"=""0.00771%""","$160,593","13,500.00"
Smartfren Telecom Tbk PT,"=""0.00770%""","$160,432","16,379,800.00"
Joincare Pharmaceutical Group Industry Co. Ltd. Class A,"=""0.00767%""","$159,763","56,100.00"
Zhongjin Gold Corp. Ltd. Class A,"=""0.00766%""","$159,603","98,200.00"
Pepkor Holdings Ltd.,"=""0.00766%""","$159,609","270,173.00"
Beijing Jingneng Clean Energy Co. Ltd. Class H,"=""0.00766%""","$159,598","578,000.00"
Avic Capital Co. Ltd. Class A,"=""0.00765%""","$159,308","234,500.00"
U-Ming Marine Transport Corp.,"=""0.00764%""","$159,142","168,000.00"
Dongxing Securities Co. Ltd. Class A,"=""0.00760%""","$158,242","80,298.00"
Aluminum Corp. of China Ltd. Class A,"=""0.00758%""","$157,822","334,700.00"
Zhejiang Supor Co. Ltd. Class A,"=""0.00757%""","$157,678","12,972.00"
Oil & Gas Development Co. Ltd.,"=""0.00755%""","$157,240","229,200.00"
WUS Printed Circuit Kunshan Co. Ltd. Class A,"=""0.00755%""","$157,245","45,600.00"
Dis-Chem Pharmacies Ltd.,"=""0.00752%""","$156,641","154,274.00"
Metallurgical Corp. of China Ltd. Class H,"=""0.00749%""","$156,013","923,000.00"
Siam City Cement PCL (Foreign),"=""0.00747%""","$155,612","32,135.00"
Avary Holding Shenzhen Co. Ltd. Class A,"=""0.00744%""","$154,961","21,200.00"
Shanghai Yuyuan Tourist Mart Group Co. Ltd. Class A,"=""0.00743%""","$154,699","105,100.00"
Burgan Bank SAK,"=""0.00739%""","$153,955","261,168.00"
Oriental Union Chemical Corp.,"=""0.00736%""","$153,210","290,500.00"
Fauji Fertilizer Co. Ltd.,"=""0.00735%""","$153,128","231,600.00"
Heilongjiang Agriculture Co. Ltd. Class A,"=""0.00733%""","$152,761","55,600.00"
Venustech Group Inc. Class A,"=""0.00731%""","$152,211","26,900.00"
Sunwoda Electronic Co. Ltd. Class A,"=""0.00729%""","$151,834","44,400.00"
Changzhou Xingyu Automotive Lighting Systems Co. Ltd. Class A,"=""0.00728%""","$151,621","7,100.00"
Coca-Cola Icecek AS,"=""0.00727%""","$151,399","23,682.00"
Exide Industries Ltd.,"=""0.00726%""","$151,249","72,697.00"
GRG Banking Equipment Co. Ltd. Class A,"=""0.00725%""","$151,072","73,199.00"
Oberoi Realty Ltd.,"=""0.00724%""","$150,698","32,221.00"
Hefei Meiya Optoelectronic Technology Inc. Class A,"=""0.00721%""","$150,238","17,500.00"
Beijing Enlight Media Co. Ltd. Class A,"=""0.00721%""","$150,208","78,800.00"
Punjab National Bank,"=""0.00721%""","$150,200","351,701.00"
Shenzhen Goodix Technology Co. Ltd. Class A,"=""0.00719%""","$149,820","5,022.00"
Shenzhen Kaifa Technology Co. Ltd. Class A,"=""0.00718%""","$149,579","41,300.00"
DHC Software Co. Ltd. Class A,"=""0.00717%""","$149,430","85,600.00"
L&T Finance Holdings Ltd.,"=""0.00713%""","$148,551","185,224.00"
Siam Makro PCL,"=""0.00712%""","$148,324","114,200.00"
Dubai Financial Market PJSC,"=""0.00712%""","$148,193","672,020.00"
Dongfang Electric Corp. Ltd. Class A,"=""0.00711%""","$148,037","99,700.00"
Unipro PJSC,"=""0.00707%""","$147,348","3,862,608.00"
Canara Bank,"=""0.00704%""","$146,706","107,761.00"
YTO Express Group Co. Ltd. Class A,"=""0.00703%""","$146,358","66,700.00"
China CSSC Holdings Ltd. Class A,"=""0.00701%""","$146,036","49,200.00"
Bharat Heavy Electricals Ltd.,"=""0.00701%""","$146,082","303,998.00"
Guangzhou Baiyunshan Pharmaceutical Holdings Co. Ltd. Class H,"=""0.00700%""","$145,854","48,000.00"
AVIC Electromechanical Systems Co. Ltd. Class A,"=""0.00699%""","$145,584","99,100.00"
Aditya Birla Capital Ltd.,"=""0.00699%""","$145,653","201,417.00"
Han's Laser Technology Industry Group Co. Ltd. Class A,"=""0.00698%""","$145,470","25,400.00"
Wanda Film Holding Co. Ltd. Class A,"=""0.00695%""","$144,723","58,200.00"
Beijing Shiji Information Technology Co. Ltd. Class A,"=""0.00695%""","$144,814","27,494.00"
Jiangsu Yuyue Medical Equipment & Supply Co. Ltd. Class A,"=""0.00694%""","$144,437","27,400.00"
Thunder Software Technology Co. Ltd. Class A,"=""0.00694%""","$144,584","10,400.00"
Jiangsu Zhongnan Construction Group Co. Ltd. Class A,"=""0.00693%""","$144,244","106,500.00"
Xinhu Zhongbao Co. Ltd. Class A,"=""0.00690%""","$143,687","294,000.00"
Xinjiang Goldwind Science & Technology Co. Ltd. Class A,"=""0.00689%""","$143,464","76,999.00"
Guangzhou Automobile Group Co. Ltd. Class A,"=""0.00689%""","$143,489","92,700.00"
NavInfo Co. Ltd. Class A,"=""0.00686%""","$142,848","53,499.00"
Grendene SA,"=""0.00685%""","$142,716","97,500.00"
Chongqing Brewery Co. Ltd. Class A,"=""0.00682%""","$141,940","13,600.00"
Bumi Serpong Damai Tbk PT,"=""0.00681%""","$141,842","3,001,300.00"
Fawaz Abdulaziz Al Hokair & Co.,"=""0.00680%""","$141,524","27,731.00"
CSG Holding Co. Ltd. Class B,"=""0.00678%""","$141,107","467,355.00"
Fujian Sunner Development Co. Ltd. Class A,"=""0.00677%""","$141,089","34,300.00"
Western Securities Co. Ltd. Class A,"=""0.00677%""","$141,038","99,199.00"
Asymchem Laboratories Tianjin Co. Ltd. Class A,"=""0.00676%""","$140,826","4,500.00"
COSCO SHIPPING Development Co. Ltd. Class H,"=""0.00675%""","$140,484","1,414,000.00"
Cummins India Ltd.,"=""0.00674%""","$140,371","26,146.00"
Shanghai Mechanical and Electrical Industry Co. Ltd. Class B,"=""0.00674%""","$140,474","125,200.00"
Meitu Inc.,"=""0.00671%""","$139,750","685,500.00"
Zhongji Innolight Co. Ltd. Class A,"=""0.00671%""","$139,706","16,499.00"
Shandong Sun Paper Industry JSC Ltd. Class A,"=""0.00670%""","$139,571","76,800.00"
China Gezhouba Group Co. Ltd. Class A,"=""0.00670%""","$139,475","145,900.00"
Sinoma Science & Technology Co. Ltd. Class A,"=""0.00669%""","$139,245","46,664.00"
Jiangxi Bank Co. Ltd. Class H,"=""0.00665%""","$138,471","307,500.00"
Chongqing Fuling Zhacai Group Co. Ltd. Class A,"=""0.00664%""","$138,350","24,500.00"
IOI Properties Group Bhd.,"=""0.00664%""","$138,336","634,100.00"
Jiangsu Zhongtian Technology Co. Ltd. Class A,"=""0.00663%""","$138,155","82,600.00"
Shandong Hualu Hengsheng Chemical Co. Ltd. Class A,"=""0.00662%""","$137,903","41,599.00"
Hangzhou Robam Appliances Co. Ltd. Class A,"=""0.00662%""","$137,889","25,100.00"
Hongfa Technology Co. Ltd. Class A,"=""0.00661%""","$137,573","22,800.00"
Shanghai M&G Stationery Inc. Class A,"=""0.00661%""","$137,725","14,700.00"
Shenzhen MTC Co. Ltd. Class A,"=""0.00660%""","$137,472","130,500.00"
China National Medicines Corp. Ltd. Class A,"=""0.00660%""","$137,382","21,800.00"
Emami Ltd.,"=""0.00657%""","$136,737","42,650.00"
China Great Wall Securities Co. Ltd. Class A,"=""0.00656%""","$136,532","66,200.00"
Banco Santander Mexico SA Institucion de Banca Multiple Grupo Financiero Santand,"=""0.00655%""","$136,395","211,670.00"
Wonders Information Co. Ltd. Class A,"=""0.00655%""","$136,459","35,500.00"
Talaat Moustafa Group,"=""0.00653%""","$135,988","372,510.00"
China Motor Corp.,"=""0.00650%""","$135,271","102,000.00"
Tianqi Lithium Corp. Class A,"=""0.00649%""","$135,144","37,270.00"
Sinolink Securities Co. Ltd. Class A,"=""0.00644%""","$134,223","64,900.00"
Oil India Ltd.,"=""0.00643%""","$133,921","103,662.00"
British American Tobacco Malaysia Bhd.,"=""0.00641%""","$133,498","52,900.00"
Bashneft PAO Preference Shares,"=""0.00637%""","$132,590","7,278.00"
Huaxin Cement Co. Ltd. Class A,"=""0.00637%""","$132,686","33,800.00"
Fiberhome Telecommunication Technologies Co. Ltd. Class A,"=""0.00635%""","$132,240","32,500.00"
Aisino Corp. Class A,"=""0.00633%""","$131,853","52,600.00"
Youngor Group Co. Ltd. Class A,"=""0.00632%""","$131,636","137,700.00"
Jinyu Bio-Technology Co. Ltd. Class A,"=""0.00629%""","$130,947","31,300.00"
Jointown Pharmaceutical Group Co. Ltd. Class A,"=""0.00629%""","$130,931","48,800.00"
Xinhua Winshare Publishing and Media Co. Ltd. Class H,"=""0.00629%""","$131,060","198,000.00"
Tianma Microelectronics Co. Ltd. Class A,"=""0.00627%""","$130,582","54,200.00"
China Molybdenum Co. Ltd. Class A,"=""0.00625%""","$130,223","206,500.00"
Wuxi Lead Intelligent Equipment Co. Ltd. Class A,"=""0.00621%""","$129,365","20,500.00"
Grupo Aval Acciones y Valores SA ADR,"=""0.00620%""","$129,084","28,246.00"
Oriental Pearl Group Co. Ltd. Class A,"=""0.00619%""","$128,907","88,700.00"
Shanghai Putailai New Energy Technology Co. Ltd. Class A,"=""0.00615%""","$128,084","8,400.00"
Northeast Securities Co. Ltd. Class A,"=""0.00615%""","$128,003","79,600.00"
Indian Railway Catering & Tourism Corp. Ltd.,"=""0.00614%""","$127,813","7,158.00"
Guangzhou Haige Communications Group Inc. Co. Class A,"=""0.00614%""","$127,959","62,000.00"
China Oilfield Services Ltd. Class A,"=""0.00612%""","$127,545","64,300.00"
Livzon Pharmaceutical Group Inc. Class A,"=""0.00612%""","$127,524","16,338.00"
Laobaixing Pharmacy Chain JSC Class A,"=""0.00609%""","$126,847","8,510.00"
Angang Steel Co. Ltd. Class H,"=""0.00608%""","$126,613","452,200.00"
Ningbo Zhoushan Port Co. Ltd. Class A,"=""0.00607%""","$126,464","211,600.00"
Shanghai Jinqiao Export Processing Zone Development Co. Ltd. Class B,"=""0.00605%""","$126,063","124,200.00"
ElSewedy Electric Co.,"=""0.00603%""","$125,636","296,367.00"
Hengtong Optic-electric Co. Ltd. Class A,"=""0.00603%""","$125,559","52,998.00"
Hangzhou First Applied Material Co. Ltd. Class A,"=""0.00600%""","$124,868","12,180.00"
RussNeft PJSC,"=""0.00595%""","$123,894","18,688.00"
Sichuan Kelun Pharmaceutical Co. Ltd. Class A,"=""0.00592%""","$123,341","38,299.00"
Huaneng Power International Inc. Class A,"=""0.00592%""","$123,211","183,300.00"
Chongqing Rural Commercial Bank Co. Ltd. Class A,"=""0.00587%""","$122,232","165,600.00"
Spring Airlines Co. Ltd. Class A,"=""0.00586%""","$122,118","21,500.00"
Beijing Kunlun Tech Co. Ltd. Class A,"=""0.00584%""","$121,716","31,500.00"
Nanjing King-Friend Biochemical Pharmaceutical Co. Ltd. Class A,"=""0.00583%""","$121,413","17,940.00"
Tonghua Dongbao Pharmaceutical Co. Ltd. Class A,"=""0.00581%""","$121,041","61,600.00"
RiseSun Real Estate Development Co. Ltd. Class A,"=""0.00581%""","$120,992","102,700.00"
Bank of Changsha Co. Ltd. Class A,"=""0.00580%""","$120,807","98,700.00"
Da An Gene Co. Ltd. of Sun Yat-Sen University Class A,"=""0.00579%""","$120,555","19,408.00"
Red Star Macalline Group Corp. Ltd. Class H,"=""0.00579%""","$120,687","176,148.00"
Gotion High-tech Co. Ltd. Class A,"=""0.00577%""","$120,195","33,200.00"
Shandong Nanshan Aluminum Co. Ltd. Class A,"=""0.00576%""","$119,939","353,100.00"
Distell Group Holdings Ltd.,"=""0.00576%""","$119,950","30,207.00"
Tangshan Jidong Cement Co. Ltd. Class A,"=""0.00574%""","$119,454","43,500.00"
China Communications Construction Co. Ltd. Class A,"=""0.00574%""","$119,566","105,600.00"
Zhengzhou Yutong Bus Co. Ltd. Class A,"=""0.00574%""","$119,466","61,200.00"
Future Retail Ltd.,"=""0.00573%""","$119,360","81,031.00"
Hellenic Petroleum SA,"=""0.00569%""","$118,570","19,209.00"
Yintai Gold Co. Ltd. Class A,"=""0.00568%""","$118,287","43,900.00"
Shennan Circuits Co. Ltd. Class A,"=""0.00564%""","$117,484","5,318.00"
Ninestar Corp. Class A,"=""0.00564%""","$117,465","21,500.00"
NetEase Inc.,"=""0.00564%""","$117,361","6,460.00"
Hyprop Investments Ltd.,"=""0.00561%""","$116,833","100,228.00"
COSCO SHIPPING Holdings Co. Ltd. Class A,"=""0.00560%""","$116,546","187,800.00"
Beijing Tongrentang Co. Ltd. Class A,"=""0.00560%""","$116,651","30,100.00"
China Resources Sanjiu Medical & Pharmaceutical Co. Ltd. Class A,"=""0.00559%""","$116,384","26,800.00"
Vukile Property Fund Ltd.,"=""0.00559%""","$116,320","336,868.00"
Yunda Holding Co. Ltd. Class A,"=""0.00558%""","$116,146","33,808.00"
China Enterprise Co. Ltd. Class A,"=""0.00558%""","$116,180","190,286.00"
Shanghai Zhangjiang High-Tech Park Development Co. Ltd. Class A,"=""0.00557%""","$115,981","40,200.00"
Grupo Lala SAB de CV,"=""0.00556%""","$115,736","213,500.00"
G-bits Network Technology Xiamen Co. Ltd. Class A,"=""0.00555%""","$115,518","1,300.00"
FAW Jiefang Group Co. Ltd. Class A,"=""0.00553%""","$115,124","59,500.00"
Telecom Egypt Co.,"=""0.00553%""","$115,229","141,445.00"
Sieyuan Electric Co. Ltd. Class A,"=""0.00551%""","$114,786","28,300.00"
Shanghai Zhenhua Heavy Industries Co. Ltd. Class B,"=""0.00549%""","$114,249","464,425.00"
360 Security Technology Inc. Class A,"=""0.00548%""","$114,117","41,000.00"
Yantai Jereh Oilfield Services Group Co. Ltd. Class A,"=""0.00546%""","$113,641","25,300.00"
Huaan Securities Co. Ltd. Class A,"=""0.00544%""","$113,397","97,800.00"
Fangda Carbon New Material Co. Ltd. Class A,"=""0.00543%""","$113,091","115,360.00"
Astra Agro Lestari Tbk PT,"=""0.00542%""","$112,820","169,811.00"
Alpek SAB de CV,"=""0.00541%""","$112,670","143,700.00"
Ningxia Baofeng Energy Group Co. Ltd. Class A,"=""0.00539%""","$112,268","75,903.00"
Yango Group Co. Ltd. Class A,"=""0.00539%""","$112,333","113,099.00"
Autobio Diagnostics Co. Ltd. Class A,"=""0.00538%""","$111,943","4,800.00"
China National Chemical Engineering Co. Ltd. Class A,"=""0.00536%""","$111,530","135,100.00"
Yunnan Copper Co. Ltd. Class A,"=""0.00535%""","$111,393","52,800.00"
Shenzhen Salubris Pharmaceuticals Co. Ltd. Class A,"=""0.00534%""","$111,224","22,300.00"
Godrej Industries Ltd.,"=""0.00533%""","$110,948","23,414.00"
Shanxi Securities Co. Ltd. Class A,"=""0.00533%""","$111,096","93,730.00"
Guangzhou Baiyun International Airport Co. Ltd. Class A,"=""0.00532%""","$110,761","54,423.00"
Astro Malaysia Holdings Bhd.,"=""0.00532%""","$110,700","590,400.00"
Rongsheng Petro Chemical Co. Ltd. Class A,"=""0.00530%""","$110,340","46,100.00"
Guangzhou Shiyuan Electronic Technology Co. Ltd. Class A,"=""0.00529%""","$110,206","7,400.00"
Guangzhou Yuexiu Financial Holdings Group Co. Ltd. Class A,"=""0.00529%""","$110,243","33,900.00"
GEM Co. Ltd. Class A,"=""0.00527%""","$109,803","143,200.00"
DMCI Holdings Inc.,"=""0.00526%""","$109,576","1,516,900.00"
China Foods Ltd.,"=""0.00525%""","$109,368","306,000.00"
China Zheshang Bank Co. Ltd. Class A,"=""0.00525%""","$109,418","185,300.00"
Yangtze Optical Fibre and Cable Joint Stock Ltd. Co. Class H,"=""0.00525%""","$109,404","61,000.00"
Bangkok Life Assurance PCL,"=""0.00524%""","$109,100","210,000.00"
Beijing Originwater Technology Co. Ltd. Class A,"=""0.00523%""","$108,829","88,500.00"
Siasun Robot & Automation Co. Ltd. Class A,"=""0.00518%""","$107,820","48,100.00"
Shanghai Jinjiang International Hotels Co. Ltd. Class B,"=""0.00517%""","$107,756","68,200.00"
BBMG Corp. Class H,"=""0.00515%""","$107,262","489,000.00"
Yifan Pharmaceutical Co. Ltd. Class A,"=""0.00514%""","$107,150","25,300.00"
Guangzhou Tinci Materials Technology Co. Ltd. Class A,"=""0.00513%""","$106,747","19,600.00"
Dong-E-E-Jiao Co. Ltd. Class A,"=""0.00513%""","$106,801","18,300.00"
Datang International Power Generation Co. Ltd. Class A,"=""0.00513%""","$106,805","311,800.00"
Wuchan Zhongda Group Co. Ltd. Class A,"=""0.00512%""","$106,734","162,600.00"
MAS Real Estate Inc.,"=""0.00511%""","$106,329","158,274.00"
Huagong Tech Co. Ltd. Class A,"=""0.00507%""","$105,553","31,500.00"
Guangdong HEC Technology Holding Co. Ltd. Class A,"=""0.00506%""","$105,320","101,638.00"
Motus Holdings Ltd.,"=""0.00506%""","$105,456","63,232.00"
Media Nusantara Citra Tbk PT,"=""0.00506%""","$105,482","1,878,100.00"
Tongkun Group Co. Ltd. Class A,"=""0.00505%""","$105,135","50,800.00"
CIMC Enric Holdings Ltd.,"=""0.00504%""","$104,916","242,000.00"
Sungrow Power Supply Co. Ltd. Class A,"=""0.00503%""","$104,740","34,800.00"
Guoyuan Securities Co. Ltd. Class A,"=""0.00503%""","$104,738","70,200.00"
Chongqing Changan Automobile Co. Ltd. Class A,"=""0.00502%""","$104,556","65,900.00"
Ningbo Joyson Electronic Corp. Class A,"=""0.00502%""","$104,502","32,320.00"
China Zhongwang Holdings Ltd.,"=""0.00501%""","$104,365","493,200.00"
Shanghai Jahwa United Co. Ltd. Class A,"=""0.00497%""","$103,411","15,500.00"
Grupo de Inversiones Suramericana SA Preference Shares,"=""0.00492%""","$102,477","23,411.00"
Reunert Ltd.,"=""0.00491%""","$102,186","54,945.00"
China Eastern Airlines Corp. Ltd. Class H,"=""0.00487%""","$101,481","286,000.00"
STO Express Co. Ltd. Class A,"=""0.00484%""","$100,731","42,699.00"
TBEA Co. Ltd. Class A,"=""0.00482%""","$100,347","80,200.00"
Shanghai Construction Group Co. Ltd. Class A,"=""0.00478%""","$99,495","222,500.00"
Sichuan Swellfun Co. Ltd. Class A,"=""0.00478%""","$99,614","10,911.00"
