Fund Name:,SPDR® MSCI Emerging Markets UCITS ETF,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ISIN:,IE00B469F816,,,,,,,,
Ticker Symbol:,SPYM GY,,,,,,,,
Holdings As Of:,27-Aug-2020,,,,,,,,
,,,,,,,,,
ISIN,SEDOL,Security Name,Currency,Number of Shares,Percent Of Fund,Trade Country Name,Local Price,Sector Classification,Industry Classification
INE081A01012,6101156,Tata Steel Limited,INR,17604,0.023980,India,426.850,Materials,Metals & Mining
CNE100000RK8,BD5CGD6,Wuhan Guide Infrared Co. Ltd. Class A,CNY,18190,0.023871,China,38.330,Information Technology,Electronic Equipment Instruments & Components
INE761H01022,B1VJS64,Page Industries Limited,INR,372,0.023846,India,20086.950,Consumer Discretionary,Textiles Apparel & Luxury Goods
KR7005830005,6155937,DB INSURANCE CO. LTD,KRW,2672,0.023635,South Korea,44500.000,Financials,Insurance
INE646L01027,BYYZ7D0,InterGlobe Aviation Ltd,INR,6240,0.023598,India,1185.050,Industrials,Airlines
SA000A0DPSH3,B128FN6,Company for Cooperative Insurance,SAR,4614,0.023502,Saudi Arabia,81.100,Financials,Insurance
KR7028050003,6765239,Samsung Engineering Co. Ltd.,KRW,10232,0.023287,South Korea,11450.000,Industrials,Construction & Engineering
CNE000000X38,BP3R3M5,Shanghai Fosun Pharmaceutical (Group) Co. Ltd. Class A,CNY,12900,0.023267,China,52.680,Health Care,Pharmaceuticals
HK0144000764,6416139,China Merchants Port Holdings Co. Ltd.,HKD,85013,0.023255,China,9.000,Industrials,Transportation Infrastructure
PLLPP0000011,7127979,LPP S.A.,PLN,52,0.023104,Poland,7060.000,Consumer Discretionary,Textiles Apparel & Luxury Goods
TH0143010R16,6581941,Land & Houses Public Co. Ltd. NVDR,THB,407200,0.023035,Thailand,7.500,Real Estate,Real Estate Management & Development
CNE0000017Y6,BP3R6C6,Yonyou Network Technology Co. Ltd. Class A,CNY,15600,0.023004,China,43.070,Information Technology,Software
BMG653181005,B0WC2B8,Nine Dragons Paper Holdings Ltd.,HKD,88000,0.023002,China,8.600,Materials,Paper & Forest Products
CZ0008019106,4519449,Komercni banka a.s.,CZK,4031,0.022843,Czech Republic,537.000,Financials,Banks
KYG525621408,6491318,Kingboard Holdings Limited,HKD,32500,0.022571,China,22.850,Information Technology,Electronic Equipment Instruments & Components
CNE100001KV8,BD5CCK5,Hangzhou Tigermed Consulting Co. Ltd. Class A,CNY,5950,0.022511,China,110.500,Health Care,Life Sciences Tools & Services
TRAISCTR91N2,B03MYS8,Turkiye Is Bankasi Anonim Sirketi Class C,TRY,137613,0.022436,Turkey,5.100,Financials,Banks
KR7138930003,B3S98W7,BNK Financial Group Inc.,KRW,21696,0.022425,South Korea,5200.000,Financials,Banks
CNE100001Y83,BD5CDT1,Mango Excellent Media Co. Ltd. Class A,CNY,9870,0.022405,China,66.300,Communication Services,Entertainment
CLP321331116,2069355,Banco de Credito e Inversiones,CLP,3015,0.022391,Chile,24800.000,Financials,Banks
PHY7072Q1032,BDGN274,PLDT Inc.,PHP,3195,0.022376,Philippines,1446.000,Communication Services,Wireless Telecommunication Services
CNE100000114,B1VRCG6,China Molybdenum Co. Ltd. Class H,HKD,234000,0.022332,China,3.140,Materials,Metals & Mining
MYL3816OO005,6557997,MISC Bhd,MYR,50800,0.022255,Malaysia,7.760,Industrials,Marine
CNE100000WN2,BD5CG36,Walvax Biotechnology Co. Ltd. Class A,CNY,10627,0.022213,China,61.050,Health Care,Biotechnology
CNE000000LY3,BP3R5Z2,Liaoning Cheng Da Co. Ltd. Class A,CNY,25700,0.022191,China,25.220,Consumer Discretionary,Distributors
ZAE000085346,B1G4262,Kumba Iron Ore Limited,ZAR,2971,0.022179,South Africa,539.000,Materials,Metals & Mining
CNE1000019R4,BP3RFJ6,Jiangsu Hengli Hydraulic Co. Ltd. Class A,CNY,9916,0.022068,China,65.000,Industrials,Machinery
CNE000000MD5,BD5M1G4,Anhui Gujing Distillery Co. Ltd. Class A,CNY,2500,0.021994,China,256.950,Consumer Staples,Beverages
CNE000000040,BD5CPS4,Ping An Bank Co. Ltd. Class A,CNY,44100,0.021833,China,14.460,Financials,Banks
KR7018880005,B00LR01,Hanon Systems,KRW,8506,0.021811,South Korea,12900.000,Consumer Discretionary,Auto Components
TH8319010R14,BFN4H35,Gulf Energy Development Public Company Limited NVDR,THB,86000,0.021730,Thailand,33.500,Utilities,Independent Power And Renewable Electricity Producers
KR7003670007,6419451,POSCO Chemical Co. Ltd.,KRW,1209,0.021676,South Korea,90200.000,Materials,Construction Materials
US06684L1035,BY2ZJ69,Baozun Inc Sponsored ADR Class A,USD,2200,0.021599,China,41.680,Consumer Discretionary,Internet & Direct Marketing Retail
CNE000000WF9,BP3R9J4,Beijing Tiantan Biological Products Corporation Limited Class A,CNY,14520,0.021476,China,43.200,Health Care,Biotechnology
SA000A0B89Q3,B132Y63,Saudi Industrial Investment Group,SAR,15350,0.021422,Saudi Arabia,22.220,Materials,Chemicals
ID1000111305,B3BQFC4,PT Adaro Energy Tbk,IDR,1182700,0.021379,Indonesia,1125.000,Energy,Oil Gas & Consumable Fuels
KYG7956A1094,BMWYQP0,Seazen Group Ltd.,HKD,98000,0.021356,China,7.170,Real Estate,Real Estate Management & Development
CNE1000031T5,BDZRFN4,CSC Financial Co. Ltd. Class A,CNY,12000,0.021200,China,51.600,Financials,Capital Markets
KYG4290A1013,BGN9715,Haidilao International Holding Ltd.,HKD,14000,0.021148,China,49.700,Consumer Discretionary,Hotels Restaurants & Leisure
BRTIMPACNOR1,2292560,TIM Participacoes S.A.,BRL,34510,0.021091,Brazil,14.530,Communication Services,Wireless Telecommunication Services
KYG211501005,B44ZV94,China Hongqiao Group Ltd.,HKD,132500,0.021062,China,5.230,Materials,Metals & Mining
CNE100000GS4,BD5C7G6,EVE Energy Co. Ltd. Class A,CNY,12165,0.020875,China,50.120,Industrials,Electrical Equipment
BRSULACDAM12,B27WYK0,Sul America SA Ctf de Deposito de Acoes Cons of 1 Sh + 2 Pfd Shs,BRL,11231,0.020785,Brazil,44.000,Financials,Insurance
CNE1000001T8,6425395,Aluminum Corporation of China Limited Class H,HKD,345000,0.020657,China,1.970,Materials,Metals & Mining
INE721A01013,6802608,Shriram Transport Finance Co. Ltd.,INR,8947,0.020563,India,720.200,Financials,Consumer Finance
MYL4707OO005,6629335,Nestle (Malaysia) Bhd.,MYR,2600,0.020549,Malaysia,140.000,Consumer Staples,Food Products
CNE100003QK4,BK4XS11,Maxscend Microelectronics Company Limited Class A,CNY,1500,0.020519,China,399.530,Information Technology,Electronic Equipment Instruments & Components
US3168271043,B02TT74,51job Inc Sponsored ADR,USD,1300,0.020455,China,66.800,Industrials,Professional Services
KR7002790004,6665931,AmorePacific Group Inc.,KRW,1934,0.020259,South Korea,52700.000,Consumer Staples,Personal Products
CNE1000019Y0,BP3R3F8,New China Life Insurance Co. Ltd. Class A,CNY,9800,0.020155,China,60.070,Financials,Insurance
KYG5427W1309,6693772,Lee & Man Paper Manufacturing Limited,HKD,141000,0.020013,China,4.670,Materials,Paper & Forest Products
KR7032500001,6219888,KMW Inc,KRW,1346,0.020012,South Korea,74800.000,Information Technology,Communications Equipment
INE203G01027,BD9PXD0,Indraprastha Gas Limited,INR,15385,0.019977,India,406.900,Utilities,Gas Utilities
TW0008299009,6728469,Phison Electronics Corp.,TWD,9000,0.019936,Taiwan,276.000,Information Technology,Semiconductors & Semiconductor Equipment
KYG2118M1096,BYYMZN7,China Overseas Property Holdings Limited,HKD,95000,0.019836,China,6.870,Real Estate,Real Estate Management & Development
ZAE000210688,BYX3N48,Rand Merchant Investment Holdings Limited,ZAR,43699,0.019827,South Africa,32.760,Financials,Insurance
CNE100000GV8,BD5C7D3,Centre Testing International Group Co. Ltd. Class A,CNY,21300,0.019821,China,27.180,Industrials,Professional Services
CNE100000MD4,BD5CPC8,East Money Information Co. Ltd Class A,CNY,22680,0.019817,China,25.520,Financials,Capital Markets
CNE1000004C8,6797458,Sinopec Shanghai Petrochemical Co. Ltd. Class H,HKD,390000,0.019795,China,1.670,Materials,Chemicals
CNE100002102,BFY8GZ1,Guangzhou Wondfo Biotech Co. Ltd. Class A,CNY,6300,0.019780,China,91.700,Health Care,Health Care Equipment & Supplies
SA000A0MQCJ2,B1Z8F66,Saudi Kayan Petrochemical Co.,SAR,34218,0.019514,Saudi Arabia,9.080,Materials,Chemicals
HK0123000694,6392422,Yuexiu Property Co. Ltd.,HKD,418000,0.019438,China,1.530,Real Estate,Real Estate Management & Development
KR7078930005,B01RJV3,GS Holdings Corp.,KRW,2969,0.019386,South Korea,32850.000,Energy,Oil Gas & Consumable Fuels
CNE1000001S0,B04KNF1,Air China Limited Class H,HKD,118000,0.019367,China,5.400,Industrials,Airlines
CNE100002RY5,BFWK4M2,A-Living Services Co. Ltd. Class H,HKD,15500,0.019268,China,40.900,Industrials,Commercial Services & Supplies
US44852D1081,BF4NQP6,HUYA Inc. Sponsored ADR Class A,USD,2900,0.019257,China,28.190,Communication Services,Entertainment
CNE000000B83,BP3R7J0,Shanghai Tunnel Engineering Co. Ltd. Class A,CNY,92500,0.019255,China,6.080,Industrials,Construction & Engineering
SA11U0S23612,B2NC4X7,Dar Al Arkan Real Estate Development Co.,SAR,38064,0.019245,Saudi Arabia,8.050,Real Estate,Real Estate Management & Development
CNE0000018V0,BFB4HL5,Hengli Petrochemical Co. Ltd. Class A,CNY,28220,0.019227,China,19.900,Materials,Chemicals
