FTSE Developed World UCITS ETF - (USD) Distributing (VDEV)
As of 31 August 2020
Holding name,% of funds,Market value,Shares
Norfolk Southern Corp.,"=""0.11349%""","$828,442","3,898.00"
Newmont Corp.,"=""0.11244%""","$820,749","12,199.00"
Autodesk Inc.,"=""0.11202%""","$817,690","3,328.00"
Northrop Grumman Corp.,"=""0.11166%""","$815,069","2,379.00"
MercadoLibre Inc.,"=""0.11142%""","$813,339",696.00
Kimberly-Clark Corp.,"=""0.11137%""","$812,937","5,153.00"
FedEx Corp.,"=""0.11125%""","$812,089","3,694.00"
Edwards Lifesciences Corp.,"=""0.11026%""","$804,836","9,376.00"
Bank of Nova Scotia,"=""0.11013%""","$803,920","18,582.00"
Barrick Gold Corp.,"=""0.10959%""","$799,935","26,974.00"
Global Payments Inc.,"=""0.10939%""","$798,499","4,521.00"
Truist Financial Corp.,"=""0.10926%""","$797,546","20,550.00"
Royal Dutch Shell plc Class B,"=""0.10918%""","$796,950","55,993.00"
Illumina Inc.,"=""0.10903%""","$795,886","2,228.00"
Mitsubishi UFJ Financial Group Inc.,"=""0.10873%""","$793,658","190,200.00"
Dollar General Corp.,"=""0.10592%""","$773,200","3,830.00"
Micron Technology Inc.,"=""0.10584%""","$772,578","16,976.00"
US Bancorp,"=""0.10350%""","$755,518","20,756.00"
Daikin Industries Ltd.,"=""0.10317%""","$753,077","4,000.00"
Estee Lauder Cos. Inc. Class A,"=""0.10303%""","$752,074","3,392.00"
Ecolab Inc.,"=""0.10278%""","$750,284","3,807.00"
KDDI Corp.,"=""0.10179%""","$743,051","25,600.00"
Lam Research Corp.,"=""0.10160%""","$741,630","2,205.00"
Anheuser-Busch InBev SA/NV,"=""0.10159%""","$741,570","12,705.00"
Waste Management Inc.,"=""0.10048%""","$733,476","6,434.00"
Recruit Holdings Co. Ltd.,"=""0.10038%""","$732,725","19,300.00"
Moody's Corp.,"=""0.09998%""","$729,823","2,477.00"
Shin-Etsu Chemical Co. Ltd.,"=""0.09987%""","$729,030","6,000.00"
BHP Group plc,"=""0.09987%""","$729,011","31,788.00"
BNP Paribas SA,"=""0.09931%""","$724,911","16,577.00"
Westpac Banking Corp.,"=""0.09889%""","$721,862","55,649.00"
PNC Financial Services Group Inc.,"=""0.09887%""","$721,688","6,490.00"
Brookfield Asset Management Inc. Class A,"=""0.09845%""","$718,672","21,272.00"
L'Oreal SA,"=""0.09790%""","$714,640","2,158.00"
Biogen Inc.,"=""0.09776%""","$713,635","2,481.00"
Lonza Group AG,"=""0.09600%""","$700,772","1,126.00"
Air Liquide SA,"=""0.09598%""","$700,609","4,213.00"
Uber Technologies Inc.,"=""0.09594%""","$700,345","20,825.00"
Aon plc Class A,"=""0.09570%""","$698,565","3,493.00"
Airbus SE,"=""0.09561%""","$697,905","8,477.00"
ABB Ltd.,"=""0.09492%""","$692,914","27,163.00"
Adyen NV,"=""0.09399%""","$686,090",406.00
Kering SA,"=""0.09375%""","$684,365","1,112.00"
Deutsche Post AG,"=""0.09319%""","$680,288","14,922.00"
Baxter International Inc.,"=""0.09269%""","$676,621","7,771.00"
Roper Technologies Inc.,"=""0.09264%""","$676,242","1,583.00"
TC Energy Corp.,"=""0.09262%""","$676,112","14,444.00"
Honda Motor Co. Ltd.,"=""0.09166%""","$669,093","26,000.00"
Vinci SA,"=""0.09147%""","$667,712","7,105.00"
Prosus NV,"=""0.09053%""","$660,869","6,591.00"
Koninklijke Philips NV,"=""0.09018%""","$658,312","13,888.00"
Analog Devices Inc.,"=""0.09011%""","$657,801","5,628.00"
Prudential plc,"=""0.08941%""","$652,690","39,907.00"
RELX plc,"=""0.08875%""","$647,829","28,419.00"
Lululemon Athletica Inc.,"=""0.08806%""","$642,771","1,711.00"
National Australia Bank Ltd.,"=""0.08730%""","$637,255","48,058.00"
Digital Realty Trust Inc.,"=""0.08702%""","$635,208","4,081.00"
UBS Group AG,"=""0.08590%""","$627,052","51,400.00"
Eaton Corp. plc,"=""0.08575%""","$625,975","6,131.00"
Workday Inc. Class A,"=""0.08495%""","$620,130","2,587.00"
Emerson Electric Co.,"=""0.08480%""","$618,978","8,910.00"
Daimler AG,"=""0.08469%""","$618,187","12,121.00"
Wesfarmers Ltd.,"=""0.08452%""","$616,978","17,556.00"
Charles Schwab Corp.,"=""0.08444%""","$616,374","17,348.00"
Canadian Pacific Railway Ltd.,"=""0.08443%""","$616,322","2,081.00"
DuPont de Nemours Inc.,"=""0.08437%""","$615,869","11,045.00"
ConocoPhillips,"=""0.08419%""","$614,576","16,220.00"
Vodafone Group plc,"=""0.08395%""","$612,807","410,694.00"
Electronic Arts Inc.,"=""0.08355%""","$609,902","4,373.00"
Bank of Montreal,"=""0.08346%""","$609,216","9,589.00"
Muenchener Rueckversicherungs-Gesellschaft AG in Muenchen,"=""0.08332%""","$608,185","2,104.00"
