FTSE All-World UCITS ETF - (USD) Distributing (VWRD)
As of 31 July 2020
Holding name,% of funds,Market value,Shares
General Mills Inc.,"=""0.07581%""","$4,545,443","71,842.00"
Charles Schwab Corp.,"=""0.07560%""","$4,532,832","136,737.00"
Prudential plc,"=""0.07538%""","$4,519,216","311,462.00"
DocuSign Inc. Class A,"=""0.07525%""","$4,511,582","20,807.00"
Centene Corp.,"=""0.07494%""","$4,493,050","68,859.00"
Canadian Pacific Railway Ltd.,"=""0.07462%""","$4,474,066","16,269.00"
Eaton Corp. plc,"=""0.07386%""","$4,428,238","47,549.00"
eBay Inc.,"=""0.07370%""","$4,418,586","79,931.00"
Pernod Ricard SA,"=""0.07366%""","$4,416,604","25,582.00"
Lululemon Athletica Inc.,"=""0.07330%""","$4,394,814","13,498.00"
Cognizant Technology Solutions Corp. Class A,"=""0.07323%""","$4,390,380","64,262.00"
Exelon Corp.,"=""0.07315%""","$4,385,594","113,587.00"
Emerson Electric Co.,"=""0.07311%""","$4,383,425","70,689.00"
General Dynamics Corp.,"=""0.07308%""","$4,381,656","29,860.00"
Australia & New Zealand Banking Group Ltd.,"=""0.07295%""","$4,373,950","339,592.00"
Nidec Corp.,"=""0.07288%""","$4,369,765","55,166.00"
China Mobile Ltd.,"=""0.07245%""","$4,343,810","634,000.00"
Xcel Energy Inc.,"=""0.07236%""","$4,338,128","62,835.00"
Muenchener Rueckversicherungs-Gesellschaft AG in Muenchen,"=""0.07230%""","$4,334,559","16,306.00"
Sempra Energy,"=""0.07188%""","$4,309,676","34,627.00"
L3Harris Technologies Inc.,"=""0.07174%""","$4,301,336","25,553.00"
Murata Manufacturing Co. Ltd.,"=""0.07100%""","$4,256,814","68,100.00"
MediaTek Inc.,"=""0.07096%""","$4,254,505","177,794.00"
Twilio Inc. Class A,"=""0.07049%""","$4,226,216","15,234.00"
Banco Santander SA,"=""0.07009%""","$4,202,034","1,964,789.00"
Veeva Systems Inc. Class A,"=""0.06997%""","$4,195,022","15,856.00"
Vonovia SE,"=""0.06983%""","$4,186,854","64,166.00"
SK Hynix Inc.,"=""0.06974%""","$4,181,560","60,168.00"
Hoya Corp.,"=""0.06953%""","$4,168,788","42,300.00"
Bank of Montreal,"=""0.06931%""","$4,155,597","75,961.00"
Daimler AG,"=""0.06915%""","$4,146,185","93,751.00"
O'Reilly Automotive Inc.,"=""0.06910%""","$4,143,181","8,679.00"
Woolworths Group Ltd.,"=""0.06853%""","$4,108,837","148,123.00"
SBA Communications Corp. Class A,"=""0.06818%""","$4,087,716","13,121.00"
NetEase Inc. ADR,"=""0.06798%""","$4,075,812","8,891.00"
London Stock Exchange Group plc,"=""0.06796%""","$4,074,722","36,593.00"
Safran SA,"=""0.06754%""","$4,049,446","38,288.00"
Sumitomo Mitsui Financial Group Inc.,"=""0.06679%""","$4,004,162","151,200.00"
NAVER Corp.,"=""0.06668%""","$3,997,838","15,824.00"
Kao Corp.,"=""0.06649%""","$3,986,638","55,200.00"
Deutsche Boerse AG,"=""0.06633%""","$3,977,129","21,755.00"
HCA Healthcare Inc.,"=""0.06632%""","$3,976,243","31,398.00"
Splunk Inc.,"=""0.06605%""","$3,959,933","18,873.00"
IDEXX Laboratories Inc.,"=""0.06565%""","$3,936,134","9,896.00"
Infineon Technologies AG,"=""0.06549%""","$3,926,685","157,154.00"
Spotify Technology SA,"=""0.06527%""","$3,913,450","15,179.00"
Hon Hai Precision Industry Co. Ltd.,"=""0.06519%""","$3,908,663","1,460,489.00"
CoStar Group Inc.,"=""0.06469%""","$3,878,305","4,564.00"
FANUC Corp.,"=""0.06452%""","$3,868,207","23,100.00"
Baidu Inc. ADR,"=""0.06451%""","$3,867,963","32,395.00"
NXP Semiconductors NV,"=""0.06439%""","$3,860,273","32,845.00"
Experian plc,"=""0.06417%""","$3,847,316","109,499.00"
Chipotle Mexican Grill Inc. Class A,"=""0.06402%""","$3,838,597","3,323.00"
IHS Markit Ltd.,"=""0.06261%""","$3,753,784","46,498.00"
Koninklijke Ahold Delhaize NV,"=""0.06247%""","$3,745,591","129,445.00"
General Motors Co.,"=""0.06212%""","$3,724,291","149,630.00"
Ross Stores Inc.,"=""0.06211%""","$3,723,636","41,526.00"
Canadian Imperial Bank of Commerce,"=""0.06202%""","$3,718,476","53,714.00"
