FTSE All-World High Dividend Yield UCITS ETF (USD)   Distributing (VHYL)

Holding details 
As at date 31 July 2020


Holding name,% of funds,Market value,Shares,
"=""Hitachi Ltd.""","=""0.14458%""","=""$1,565,035""","=""52,900""",
"=""Tesco plc""","=""0.14399%""","=""$1,558,674""","=""547,011""",
"=""Kinder Morgan Inc.""","=""0.14369%""","=""$1,555,456""","=""110,316""",
"=""Tokio Marine Holdings Inc.""","=""0.14302%""","=""$1,548,174""","=""36,900""",
"=""ING Groep NV""","=""0.14269%""","=""$1,544,560""","=""221,537""",
"=""Rio Tinto Ltd.""","=""0.14239%""","=""$1,541,329""","=""21,071""",
"=""Transurban Group""","=""0.14235%""","=""$1,540,978""","=""155,594""",
"=""Phillips 66""","=""0.14179%""","=""$1,534,871""","=""24,748""",
"=""Nokia Oyj""","=""0.14131%""","=""$1,529,626""","=""318,609""",
"=""Investor AB Class B""","=""0.13935%""","=""$1,508,452""","=""25,532""",
"=""Manulife Financial Corp.""","=""0.13615%""","=""$1,473,776""","=""109,979""",
"=""Volvo AB Class B""","=""0.13575%""","=""$1,469,471""","=""85,149""",
"=""Mitsubishi Electric Corp.""","=""0.13531%""","=""$1,464,736""","=""113,000""",
"=""Gazprom PJSC""","=""0.13513%""","=""$1,462,814""","=""596,413""",
"=""Ford Motor Co.""","=""0.13506%""","=""$1,462,033""","=""221,185""",
"=""Credit Suisse Group AG""","=""0.13450%""","=""$1,455,915""","=""136,344""",
"=""DBS Group Holdings Ltd.""","=""0.13438%""","=""$1,454,673""","=""100,900""",
"=""Consolidated Edison Inc.""","=""0.13418%""","=""$1,452,471""","=""18,905""",
"=""Schlumberger Ltd.""","=""0.13338%""","=""$1,443,871""","=""79,596""",
"=""E.On Se""","=""0.13270%""","=""$1,436,448""","=""122,258""",
"=""HP Inc.""","=""0.13163%""","=""$1,424,912""","=""81,053""",
"=""Prudential Financial Inc.""","=""0.13131%""","=""$1,421,452""","=""22,431""",
"=""B3 SA - Brasil Bolsa Balcao""","=""0.13104%""","=""$1,418,498""","=""116,400""",
"=""Nordea Bank Abp""","=""0.13043%""","=""$1,411,883""","=""181,843""",
"=""Itau Unibanco Holding SA Preference Shares""","=""0.13034%""","=""$1,410,896""","=""273,144""",
"=""Mitsui & Co. Ltd.""","=""0.12996%""","=""$1,406,819""","=""94,500""",
"=""Glencore plc""","=""0.12966%""","=""$1,403,522""","=""612,317""",
"=""Marathon Petroleum Corp.""","=""0.12950%""","=""$1,401,787""","=""36,696""",
"=""Softbank Corp.""","=""0.12801%""","=""$1,385,670""","=""103,575""",
"=""Lloyds Banking Group plc""","=""0.12707%""","=""$1,375,549""","=""3,987,207""",
"=""Mitsubishi Corp.""","=""0.12704%""","=""$1,375,179""","=""68,600""",
"=""Suncor Energy Inc.""","=""0.12605%""","=""$1,364,461""","=""86,744""",
"=""LafargeHolcim Ltd.""","=""0.12601%""","=""$1,364,056""","=""28,851""",
"=""Archer-Daniels-Midland Co.""","=""0.12353%""","=""$1,337,238""","=""31,222""",
"=""Bank of China Ltd. Class H""","=""0.12325%""","=""$1,334,185""","=""3,977,000""",
"=""Corning Inc.""","=""0.12190%""","=""$1,319,608""","=""42,568""",
"=""Williams Cos. Inc.""","=""0.12176%""","=""$1,318,000""","=""68,897""",
"=""Paychex Inc.""","=""0.12063%""","=""$1,305,780""","=""18,156""",
"=""Valero Energy Corp.""","=""0.12003%""","=""$1,299,363""","=""23,108""",
"=""SWISS RE AG""","=""0.11991%""","=""$1,298,022""","=""16,455""",
"=""Sun Life Financial Inc.""","=""0.11968%""","=""$1,295,564""","=""33,239""",
