FTSE All-World High Dividend Yield UCITS ETF (USD)   Distributing (VHYL)

Holding details 
As at date 31 July 2020


Holding name,% of funds,Market value,Shares,
"=""Industrias Penoles SAB de CV""","=""0.01055%""","=""$114,198""","=""7,635""",
"=""China Lesso Group Holdings Ltd.""","=""0.01052%""","=""$113,886""","=""59,000""",
"=""Chicony Electronics Co. Ltd.""","=""0.01051%""","=""$113,724""","=""38,337""",
"=""Lotte Chemical Corp.""","=""0.01045%""","=""$113,144""","=""800""",
"=""Indorama Ventures PCL""","=""0.01042%""","=""$112,804""","=""140,700""",
"=""Shougang Fushan Resources Group Ltd.""","=""0.01042%""","=""$112,820""","=""494,000""",
"=""Bank AlBilad""","=""0.01036%""","=""$112,182""","=""17,888""",
"=""TS Tech Co. Ltd.""","=""0.01025%""","=""$110,988""","=""4,400""",
"=""Volkswagen AG""","=""0.01022%""","=""$110,627""","=""705""",
"=""Natixis SA""","=""0.01022%""","=""$110,659""","=""45,538""",
"=""Beijing Enterprises Holdings Ltd.""","=""0.01018%""","=""$110,146""","=""31,500""",
"=""Mebuki Financial Group Inc.""","=""0.01016%""","=""$109,995""","=""49,700""",
"=""Aldar Properties PJSC""","=""0.01016%""","=""$110,029""","=""233,615""",
"=""Crown Resorts Ltd.""","=""0.01013%""","=""$109,647""","=""17,083""",
"=""Evraz plc""","=""0.01010%""","=""$109,307""","=""28,867""",
"=""Nippon Shokubai Co. Ltd.""","=""0.01007%""","=""$109,032""","=""2,200""",
"=""Opap SA""","=""0.01007%""","=""$109,037""","=""12,085""",
"=""Nippon Electric Glass Co. Ltd.""","=""0.01005%""","=""$108,741""","=""6,700""",
"=""Gap Inc.""","=""0.01005%""","=""$108,832""","=""8,140""",
"=""Kaken Pharmaceutical Co. Ltd.""","=""0.01001%""","=""$108,389""","=""2,400""",
"=""Toda Corp.""","=""0.01000%""","=""$108,210""","=""17,000""",
"=""S-Oil Corp.""","=""0.00992%""","=""$107,418""","=""2,098""",
"=""Banco Santander Brasil SA""","=""0.00992%""","=""$107,369""","=""18,700""",
"=""Henan Shuanghui Investment & Development Co. Ltd. Class A""","=""0.00991%""","=""$107,267""","=""13,700""",
"=""Qatar Gas Transport Co. Ltd.""","=""0.00989%""","=""$107,042""","=""139,242""",
"=""Sodexo SA - PRIME FIDELITE 2023""","=""0.00988%""","=""$106,958""","=""1,552""",
"=""Digital Telecommunications Infrastructure Fund""","=""0.00981%""","=""$106,182""","=""219,272""",
"=""Iida Group Holdings Co. Ltd.""","=""0.00967%""","=""$104,704""","=""6,800""",
"=""Jumbo SA""","=""0.00967%""","=""$104,629""","=""5,327""",
"=""Delta Electronics Thailand PCL""","=""0.00962%""","=""$104,100""","=""28,600""",
"=""Neles Oyj""","=""0.00955%""","=""$103,401""","=""7,144""",
"=""Aica Kogyo Co. Ltd.""","=""0.00952%""","=""$103,055""","=""3,200""",
"=""Kumba Iron Ore Ltd.""","=""0.00951%""","=""$102,967""","=""3,188""",
"=""Kaneka Corp.""","=""0.00950%""","=""$102,790""","=""4,400""",
"=""Old Mutual Ltd.""","=""0.00947%""","=""$102,462""","=""152,119""",
"=""Orbia Advance Corp. SAB de CV""","=""0.00945%""","=""$102,251""","=""64,300""",
"=""LG Uplus Corp.""","=""0.00938%""","=""$101,526""","=""10,564""",
"=""Mabuchi Motor Co. Ltd.""","=""0.00934%""","=""$101,135""","=""3,400""",
"=""China Aoyuan Group Ltd.""","=""0.00931%""","=""$100,746""","=""80,000""",
"=""Acciona SA""","=""0.00930%""","=""$100,714""","=""908""",
"=""TMB Bank PCL""","=""0.00928%""","=""$100,457""","=""3,297,383""",
"=""Qatar International Islamic Bank QSC""","=""0.00927%""","=""$100,362""","=""44,509""",
"=""IGM Financial Inc.""","=""0.00926%""","=""$100,253""","=""4,078""",
"=""Qantas Airways Ltd.""","=""0.00925%""","=""$100,128""","=""43,226""",
"=""Harvey Norman Holdings Ltd.""","=""0.00923%""","=""$99,962""","=""37,470""",
"=""Ulvac Inc.""","=""0.00921%""","=""$99,688""","=""3,400""",
"=""Lintec Corp.""","=""0.00919%""","=""$99,519""","=""4,300""",
"=""Open House Co. Ltd.""","=""0.00916%""","=""$99,111""","=""3,500""",
"=""Aozora Bank Ltd.""","=""0.00914%""","=""$98,926""","=""6,200""",
"=""Toyoda Gosei Co. Ltd.""","=""0.00911%""","=""$98,595""","=""5,100""",
"=""Petronet LNG Ltd.""","=""0.00906%""","=""$98,057""","=""29,598""",
"=""Mitsubishi UFJ Lease & Finance Co. Ltd.""","=""0.00906%""","=""$98,066""","=""23,300""",
"=""IHI Corp.""","=""0.00903%""","=""$97,732""","=""7,900""",
"=""Thai Union Frozen Products PCL (Foreign)""","=""0.00901%""","=""$97,505""","=""226,900""",
"=""Fielmann AG""","=""0.00900%""","=""$97,460""","=""1,324""",
"=""Dubai Islamic Bank PJSC""","=""0.00897%""","=""$97,059""","=""94,566""",
"=""KWG Group Holdings Ltd.""","=""0.00896%""","=""$97,043""","=""54,500""",
"=""Banca Mediolanum SPA""","=""0.00895%""","=""$96,852""","=""13,011""",
"=""Hyundai Steel Co.""","=""0.00891%""","=""$96,502""","=""4,636""",
"=""Telefonica Deutschland Holding AG""","=""0.00891%""","=""$96,495""","=""35,098""",
"=""Cia Cervecerias Unidas SA""","=""0.00890%""","=""$96,394""","=""12,406""",
"=""Chow Tai Fook Jewellery Group Ltd.""","=""0.00888%""","=""$96,103""","=""89,200""",
"=""Alfa SAB de CV Class A""","=""0.00882%""","=""$95,477""","=""175,400""",
"=""ICL Group Ltd.""","=""0.00881%""","=""$95,417""","=""30,368""",
"=""Yuexiu Property Co. Ltd.""","=""0.00879%""","=""$95,118""","=""519,142""",
"=""Grupo Financiero Inbursa SAB de CV""","=""0.00877%""","=""$94,888""","=""131,200""",
"=""Samsung Securities Co. Ltd.""","=""0.00877%""","=""$94,937""","=""3,907""",
"=""Ooredoo QPSC""","=""0.00874%""","=""$94,602""","=""51,410""",
"=""Nomura Real Estate Holdings Inc.""","=""0.00873%""","=""$94,452""","=""5,700""",
"=""Woolworths Holdings Ltd./South Africa""","=""0.00871%""","=""$94,312""","=""50,615""",
"=""Colbun SA""","=""0.00871%""","=""$94,241""","=""520,698""",
"=""Infraestructura Energetica Nova SAB de CV""","=""0.00871%""","=""$94,277""","=""31,700""",
"=""Korea Investment Holdings Co. Ltd.""","=""0.00868%""","=""$93,975""","=""2,299""",
"=""Engie Brasil Energia SA""","=""0.00862%""","=""$93,346""","=""10,525""",
"=""Star Entertainment Grp Ltd.""","=""0.00857%""","=""$92,746""","=""50,716""",
"=""China Everbright Ltd.""","=""0.00857%""","=""$92,798""","=""58,000""",
"=""Yokohama Rubber Co. Ltd.""","=""0.00856%""","=""$92,657""","=""7,300""",
"=""Huaneng Power International Inc. Class A""","=""0.00855%""","=""$92,560""","=""137,700""",
"=""Furukawa Electric Co. Ltd.""","=""0.00854%""","=""$92,474""","=""3,900""",
"=""OC Oerlikon Corp. AG""","=""0.00853%""","=""$92,379""","=""11,043""",
"=""CNP Assurances""","=""0.00853%""","=""$92,373""","=""7,666""",
"=""Life Healthcare Group Holdings Ltd.""","=""0.00850%""","=""$92,030""","=""90,222""",
"=""Telenet Group Holding NV""","=""0.00848%""","=""$91,742""","=""2,351""",
"=""Smurfit Kappa Group plc""","=""0.00847%""","=""$91,707""","=""2,725""",
"=""Metro AG""","=""0.00841%""","=""$91,035""","=""9,931""",
"=""Macy's Inc.""","=""0.00841%""","=""$91,009""","=""15,018""",
"=""Credit Saison Co. Ltd.""","=""0.00838%""","=""$90,742""","=""9,800""",
"=""Banco de Sabadell SA""","=""0.00837%""","=""$90,610""","=""265,140""",
"=""Cyrela Brazil Realty SA Empreendimentos e Participacoes""","=""0.00837%""","=""$90,596""","=""17,200""",
"=""Nipro Corp.""","=""0.00836%""","=""$90,523""","=""8,500""",
"=""Yamaguchi Financial Group Inc.""","=""0.00836%""","=""$90,451""","=""15,400""",
"=""Grupo Aeroportuario del Centro Norte SAB de CV""","=""0.00835%""","=""$90,373""","=""21,600""",
"=""Klabin SA""","=""0.00832%""","=""$90,088""","=""22,700""",
"=""Kimberly-Clark de Mexico SAB de CV Class A""","=""0.00832%""","=""$90,024""","=""54,600""",
"=""Qatar Fuel QSC""","=""0.00832%""","=""$90,051""","=""20,365""",
"=""J Front Retailing Co. Ltd.""","=""0.00830%""","=""$89,855""","=""15,600""",
"=""PSG Group Ltd.""","=""0.00828%""","=""$89,600""","=""9,889""",
"=""Komercni banka as""","=""0.00826%""","=""$89,414""","=""3,857""",
"=""Uni-President China Holdings Ltd.""","=""0.00821%""","=""$88,875""","=""82,000""",
"=""Jarir Marketing Co.""","=""0.00821%""","=""$88,856""","=""2,204""",
"=""Yangzijiang Shipbuilding Holdings Ltd.""","=""0.00820%""","=""$88,811""","=""133,100""",
"=""CRRC Corp. Ltd. Class H""","=""0.00819%""","=""$88,705""","=""204,000""",
"=""Kangwon Land Inc.""","=""0.00819%""","=""$88,646""","=""4,622""",
"=""Hitachi Construction Machinery Co. Ltd.""","=""0.00818%""","=""$88,546""","=""3,100""",
"=""Cia Siderurgica Nacional SA""","=""0.00817%""","=""$88,478""","=""37,600""",
"=""Bank Al-Jazira""","=""0.00817%""","=""$88,454""","=""27,691""",
"=""Shenzhen Investment Ltd.""","=""0.00817%""","=""$88,418""","=""282,000""",
"=""Gunma Bank Ltd.""","=""0.00816%""","=""$88,283""","=""28,200""",
"=""S-1 Corp.""","=""0.00815%""","=""$88,191""","=""1,161""",
"=""Sulzer AG""","=""0.00813%""","=""$88,038""","=""1,065""",
"=""Bankia SA""","=""0.00811%""","=""$87,790""","=""69,319""",
"=""Tata Steel Ltd.""","=""0.00809%""","=""$87,550""","=""17,881""",
"=""GMexico Transportes SAB de CV""","=""0.00809%""","=""$87,523""","=""75,400""",
"=""Taiwan High Speed Rail Corp.""","=""0.00809%""","=""$87,528""","=""77,000""",
"=""Haitian International Holdings Ltd.""","=""0.00808%""","=""$87,471""","=""38,000""",
"=""Seazen Holdings Co. Ltd.""","=""0.00807%""","=""$87,303""","=""17,900""",
"=""Aker BP ASA""","=""0.00806%""","=""$87,270""","=""4,662""",
"=""Maruichi Steel Tube Ltd.""","=""0.00806%""","=""$87,242""","=""3,700""",
"=""Kyudenko Corp.""","=""0.00806%""","=""$87,227""","=""3,100""",
"=""Intouch Holdings PCL""","=""0.00806%""","=""$87,260""","=""47,947""",
"=""Hiroshima Bank Ltd.""","=""0.00804%""","=""$87,073""","=""19,100""",
"=""KOC Holding AS""","=""0.00801%""","=""$86,666""","=""37,408""",
"=""GS Engineering & Construction Corp.""","=""0.00801%""","=""$86,682""","=""3,832""",
"=""Poly Developments and Holdings Group Co. Ltd. Class A""","=""0.00801%""","=""$86,748""","=""38,799""",
"=""Far East Horizon Ltd.""","=""0.00798%""","=""$86,436""","=""105,000""",
"=""CSC Financial Co. Ltd. Class H""","=""0.00796%""","=""$86,211""","=""57,500""",
"=""Cheil Worldwide Inc.""","=""0.00795%""","=""$86,057""","=""5,340""",
"=""Cia Energetica de Sao Paulo Preference Shares""","=""0.00795%""","=""$86,058""","=""14,000""",
"=""Banpu PCL""","=""0.00794%""","=""$85,907""","=""482,668""",
"=""Abdullah Al Othaim Markets Co.""","=""0.00792%""","=""$85,681""","=""2,714""",
"=""Toyobo Co. Ltd.""","=""0.00790%""","=""$85,497""","=""6,200""",
"=""Rand Merchant Investment Holdings Ltd.""","=""0.00788%""","=""$85,273""","=""45,649""",
"=""Toyo Tire Corp.""","=""0.00785%""","=""$84,986""","=""6,400""",
"=""EDP - Energias do Brasil SA""","=""0.00782%""","=""$84,618""","=""23,734""",
"=""Jardine Cycle & Carriage Ltd.""","=""0.00781%""","=""$84,591""","=""5,800""",
"=""Sanwa Holdings Corp.""","=""0.00780%""","=""$84,459""","=""9,900""",
"=""Kerry Logistics Network Ltd.""","=""0.00780%""","=""$84,391""","=""51,500""",
"=""Qualicorp Consultoria e Corretora de Seguros SA""","=""0.00780%""","=""$84,444""","=""15,700""",
"=""Kingboard Laminates Holdings Ltd.""","=""0.00779%""","=""$84,288""","=""75,000""",
"=""RHB Bank Bhd.""","=""0.00779%""","=""$84,310""","=""71,210""",
"=""NOK Corp.""","=""0.00778%""","=""$84,249""","=""7,800""",
"=""Pola Orbis Holdings Inc.""","=""0.00777%""","=""$84,075""","=""5,100""",
"=""Telekom Malaysia Bhd.""","=""0.00777%""","=""$84,154""","=""89,203""",
"=""Bank of Beijing Co. Ltd. Class A""","=""0.00776%""","=""$84,039""","=""121,400""",
"=""GAIL India Ltd.""","=""0.00773%""","=""$83,648""","=""64,748""",
"=""China Merchants Securities Co. Ltd. Class H""","=""0.00773%""","=""$83,666""","=""68,400""",
"=""Sumitomo Heavy Industries Ltd.""","=""0.00770%""","=""$83,332""","=""4,300""",
"=""SITC International Holdings Co. Ltd.""","=""0.00769%""","=""$83,212""","=""83,000""",
"=""Carnival plc""","=""0.00769%""","=""$83,224""","=""7,671""",
"=""Bank of Shanghai Co. Ltd. Class A""","=""0.00767%""","=""$83,070""","=""70,000""",
"=""Wacker Chemie AG""","=""0.00765%""","=""$82,815""","=""915""",
"=""CIMIC Group Ltd.""","=""0.00765%""","=""$82,845""","=""5,378""",
"=""Fraport AG Frankfurt Airport Services Worldwide""","=""0.00765%""","=""$82,817""","=""2,121""",
"=""Virgin Money UK plc""","=""0.00763%""","=""$82,620""","=""71,974""",
"=""Kandenko Co. Ltd.""","=""0.00758%""","=""$82,030""","=""10,500""",
"=""Shenzhen International Holdings Ltd.""","=""0.00757%""","=""$81,954""","=""50,250""",
"=""Amada Co. Ltd.""","=""0.00756%""","=""$81,810""","=""12,200""",
"=""Cia de Saneamento do Parana""","=""0.00756%""","=""$81,839""","=""13,900""",
"=""GS Yuasa Corp.""","=""0.00755%""","=""$81,708""","=""5,300""",
"=""Worley Ltd.""","=""0.00754%""","=""$81,641""","=""13,883""",
"=""Downer EDI Ltd.""","=""0.00750%""","=""$81,159""","=""27,535""",
"=""Hanon Systems""","=""0.00750%""","=""$81,208""","=""9,714""",
"=""SATS Ltd.""","=""0.00746%""","=""$80,723""","=""40,400""",
"=""Seven Bank Ltd.""","=""0.00746%""","=""$80,700""","=""33,200""",
"=""Mphasis Ltd.""","=""0.00746%""","=""$80,795""","=""5,220""",
"=""Mitsubishi Motors Corp.""","=""0.00745%""","=""$80,662""","=""41,400""",
"=""Ushio Inc.""","=""0.00744%""","=""$80,532""","=""6,900""",
"=""Cia Energetica de Minas Gerais Preference Shares""","=""0.00744%""","=""$80,527""","=""34,934""",
"=""Beijing Capital International Airport Co. Ltd. Class H""","=""0.00743%""","=""$80,439""","=""122,000""",
"=""RTL Group SA""","=""0.00743%""","=""$80,457""","=""2,430""",
"=""Zhejiang Expressway Co. Ltd. Class H""","=""0.00741%""","=""$80,266""","=""108,000""",
"=""Dairy Farm International Holdings Ltd.""","=""0.00739%""","=""$80,036""","=""18,700""",
"=""Eutelsat Communications SA""","=""0.00738%""","=""$79,937""","=""7,888""",
"=""Yageo Corp. GDR""","=""0.00736%""","=""$79,674""","=""1,200""",
"=""Centrais Eletricas Brasileiras SA""","=""0.00734%""","=""$79,496""","=""11,203""",
"=""Hochtief AG""","=""0.00733%""","=""$79,308""","=""972""",
"=""Dali Foods Group Co. Ltd.""","=""0.00733%""","=""$79,340""","=""130,000""",
"=""COSCO SHIPPING Ports Ltd.""","=""0.00732%""","=""$79,234""","=""152,000""",
"=""COMSYS Holdings Corp.""","=""0.00731%""","=""$79,164""","=""2,700""",
"=""BNK Financial Group Inc.""","=""0.00730%""","=""$79,033""","=""18,319""",
"=""AVI Ltd.""","=""0.00727%""","=""$78,673""","=""18,968""",
"=""Talanx AG""","=""0.00727%""","=""$78,661""","=""2,150""",
"=""Hugo Boss AG""","=""0.00726%""","=""$78,628""","=""2,876""",
"=""Konica Minolta Inc.""","=""0.00726%""","=""$78,617""","=""29,900""",
"=""Manila Electric Co.""","=""0.00724%""","=""$78,404""","=""14,540""",
"=""Fletcher Building Ltd.""","=""0.00722%""","=""$78,157""","=""34,712""",
"=""Santander Consumer USA Holdings Inc.""","=""0.00720%""","=""$77,993""","=""4,248""",
"=""Cia Paranaense de Energia Preference Shares""","=""0.00719%""","=""$77,782""","=""6,100""",
"=""Bank of Communications Co. Ltd. Class A""","=""0.00717%""","=""$77,636""","=""113,800""",
"=""Mitsui Mining & Smelting Co. Ltd.""","=""0.00714%""","=""$77,304""","=""3,700""",
"=""Transmissora Alianca de Energia Eletrica SA""","=""0.00714%""","=""$77,326""","=""13,900""",
"=""Investec plc""","=""0.00713%""","=""$77,219""","=""39,092""",
"=""Grupa Lotos SA""","=""0.00712%""","=""$77,125""","=""5,928""",
"=""Huaxia Bank Co. Ltd. Class A""","=""0.00712%""","=""$77,025""","=""84,500""",
"=""BOC Aviation Ltd.""","=""0.00710%""","=""$76,881""","=""13,300""",
"=""Singapore Press Holdings Ltd.""","=""0.00706%""","=""$76,468""","=""98,000""",
"=""GF Securities Co. Ltd. Class H""","=""0.00706%""","=""$76,476""","=""63,800""",
"=""Imerys SA""","=""0.00703%""","=""$76,138""","=""2,069""",
"=""Washington H Soul Pattinson & Co. Ltd.""","=""0.00702%""","=""$76,004""","=""5,421""",
"=""H.U. Group Holdings Inc.""","=""0.00702%""","=""$75,956""","=""3,400""",
"=""Mr Price Group Ltd.""","=""0.00702%""","=""$76,042""","=""10,221""",
"=""Saudi Cement Co.""","=""0.00700%""","=""$75,794""","=""5,076""",
"=""Coca-Cola Femsa SAB de CV""","=""0.00700%""","=""$75,820""","=""18,200""",
"=""DMG Mori Co. Ltd.""","=""0.00697%""","=""$75,412""","=""7,100""",
"=""Sumitomo Rubber Industries Ltd.""","=""0.00697%""","=""$75,396""","=""9,100""",
"=""Tui AG""","=""0.00695%""","=""$75,237""","=""19,897""",
"=""Bank of Nanjing Co. Ltd. Class A""","=""0.00694%""","=""$75,073""","=""67,500""",
"=""China Fortune Land Development Co. Ltd. Class A""","=""0.00693%""","=""$74,965""","=""30,147""",
"=""Southern Province Cement Co.""","=""0.00689%""","=""$74,623""","=""4,339""",
"=""Baoshan Iron & Steel Co. Ltd. Class A""","=""0.00688%""","=""$74,464""","=""105,600""",
"=""NWS Holdings Ltd.""","=""0.00687%""","=""$74,321""","=""96,000""",
"=""Moneta Money Bank AS""","=""0.00687%""","=""$74,398""","=""32,535""",
"=""IRB Brasil Resseguros S/A""","=""0.00687%""","=""$74,377""","=""48,581""",
"=""Dar Al Arkan Real Estate Development Co.""","=""0.00686%""","=""$74,273""","=""38,368""",
"=""PhosAgro PJSC""","=""0.00682%""","=""$73,772""","=""2,036""",
"=""DWS Group GmbH & Co. KGaA""","=""0.00682%""","=""$73,822""","=""1,961""",
"=""Yanzhou Coal Mining Co. Ltd. Class H""","=""0.00678%""","=""$73,379""","=""94,000""",
"=""Saudi Industrial Investment Group""","=""0.00677%""","=""$73,254""","=""15,029""",
"=""Bank of Queensland Ltd.""","=""0.00677%""","=""$73,240""","=""17,164""",
"=""Hokuhoku Financial Group Inc.""","=""0.00677%""","=""$73,243""","=""8,800""",
"=""African Rainbow Minerals Ltd.""","=""0.00676%""","=""$73,136""","=""6,415""",
"=""Ube Industries Ltd.""","=""0.00674%""","=""$72,907""","=""4,500""",
"=""China Power International Development Ltd.""","=""0.00674%""","=""$72,992""","=""390,140""",
"=""JCDecaux SA""","=""0.00672%""","=""$72,745""","=""4,311""",
"=""Zardoya Otis SA""","=""0.00671%""","=""$72,590""","=""10,923""",
"=""CSR Ltd.""","=""0.00669%""","=""$72,433""","=""28,940""",
"=""Formosa Taffeta Co. Ltd.""","=""0.00667%""","=""$72,164""","=""70,000""",
"=""Netcare Ltd.""","=""0.00667%""","=""$72,204""","=""90,408""",
"=""Daqin Railway Co. Ltd. Class A""","=""0.00666%""","=""$72,088""","=""77,500""",
"=""Samsonite International SA""","=""0.00666%""","=""$72,124""","=""77,100""",
"=""Rostelecom PJSC""","=""0.00666%""","=""$72,103""","=""59,534""",
"=""Poly Property Group Co. Ltd.""","=""0.00666%""","=""$72,096""","=""229,000""",
"=""Cosmo Energy Holdings Co. Ltd.""","=""0.00664%""","=""$71,881""","=""5,000""",
"=""China State Construction International Holdings Ltd.""","=""0.00662%""","=""$71,653""","=""121,250""",
"=""Santander Bank Polska SA""","=""0.00661%""","=""$71,539""","=""1,775""",
"=""Yue Yuen Industrial Holdings Ltd.""","=""0.00660%""","=""$71,418""","=""45,000""",
"=""BBMG Corp. Class H""","=""0.00659%""","=""$71,288""","=""325,000""",
"=""MGM China Holdings Ltd.""","=""0.00658%""","=""$71,221""","=""57,200""",
"=""Shikoku Electric Power Co. Inc.""","=""0.00658%""","=""$71,181""","=""10,600""",
"=""Old Mutual Ltd.""","=""0.00657%""","=""$71,100""","=""105,845""",
"=""Malaysia Airports Holdings Bhd.""","=""0.00656%""","=""$70,981""","=""57,000""",
"=""Challenger Ltd.""","=""0.00653%""","=""$70,655""","=""22,701""",
"=""Wacoal Holdings Corp.""","=""0.00652%""","=""$70,550""","=""4,200""",
"=""Kyowa Exeo Corp.""","=""0.00651%""","=""$70,481""","=""3,000""",
"=""Sumitomo Osaka Cement Co. Ltd.""","=""0.00650%""","=""$70,410""","=""2,100""",
"=""Mapfre SA""","=""0.00649%""","=""$70,249""","=""38,930""",
"=""Hyundai Marine & Fire Insurance Co. Ltd.""","=""0.00649%""","=""$70,209""","=""3,590""",
"=""UnipolSai Assicurazioni SPA""","=""0.00648%""","=""$70,115""","=""27,249""",
"=""Saudi Airlines Catering Co.""","=""0.00647%""","=""$70,090""","=""3,194""",
"=""Matsui Securities Co. Ltd.""","=""0.00647%""","=""$70,033""","=""8,600""",
"=""Krung Thai Bank PCL (Foreign)""","=""0.00646%""","=""$69,936""","=""221,400""",
"=""Park24 Co. Ltd.""","=""0.00645%""","=""$69,838""","=""5,200""",
"=""Sankyo Co. Ltd.""","=""0.00645%""","=""$69,834""","=""2,800""",
"=""Cielo SA""","=""0.00642%""","=""$69,526""","=""67,400""",
"=""Micro Focus International plc""","=""0.00642%""","=""$69,451""","=""19,096""",
"=""IRPC PCL (Foreign)""","=""0.00640%""","=""$69,319""","=""851,000""",
"=""TELUS Corp.""","=""0.00638%""","=""$69,074""","=""3,983""",
"=""Tupras Turkiye Petrol Rafinerileri AS""","=""0.00637%""","=""$68,990""","=""5,833""",
"=""Shenzhen Expressway Co. Ltd. Class A""","=""0.00637%""","=""$68,909""","=""53,600""",
"=""Sembcorp Industries Ltd.""","=""0.00636%""","=""$68,882""","=""54,600""",
"=""Total Access Communication PCL (Foreign)""","=""0.00635%""","=""$68,709""","=""58,300""",
"=""Traton SE""","=""0.00634%""","=""$68,599""","=""3,605""",
"=""Cyfrowy Polsat SA""","=""0.00634%""","=""$68,629""","=""9,199""",
"=""Cie Plastic Omnium SA""","=""0.00631%""","=""$68,347""","=""3,386""",
"=""Hite Jinro Co. Ltd.""","=""0.00631%""","=""$68,355""","=""1,960""",
"=""CPFL Energia SA""","=""0.00630%""","=""$68,159""","=""11,300""",
"=""Casino Guichard Perrachon SA""","=""0.00628%""","=""$67,981""","=""2,436""",
"=""Globe Telecom Inc.""","=""0.00627%""","=""$67,828""","=""1,615""",
"=""IOOF Holdings Ltd.""","=""0.00623%""","=""$67,481""","=""20,635""",
"=""Eregli Demir ve Celik Fabrikalari TAS""","=""0.00622%""","=""$67,357""","=""61,534""",
"=""Bank of Ireland Group plc""","=""0.00621%""","=""$67,226""","=""32,486""",
"=""NEPI Rockcastle plc""","=""0.00619%""","=""$66,996""","=""12,820""",
"=""Metallurgical Corp. of China Ltd. Class A""","=""0.00618%""","=""$66,938""","=""166,800""",
"=""Tiger Brands Ltd.""","=""0.00618%""","=""$66,944""","=""6,465""",
"=""Industrial Bank of Korea""","=""0.00618%""","=""$66,921""","=""9,831""",
"=""Wanhua Chemical Group Co. Ltd. Class A""","=""0.00617%""","=""$66,842""","=""6,900""",
"=""SKYCITY Entertainment Group Ltd.""","=""0.00616%""","=""$66,635""","=""40,173""",
"=""Aguas Andinas SA Class A""","=""0.00616%""","=""$66,688""","=""189,659""",
"=""NHK Spring Co. Ltd.""","=""0.00615%""","=""$66,623""","=""12,000""",
"=""Boskalis Westminster""","=""0.00611%""","=""$66,115""","=""3,501""",
"=""BAIC Motor Corp. Ltd. Class H""","=""0.00611%""","=""$66,087""","=""135,500""",
"=""Arabian Centres Co. Ltd.""","=""0.00609%""","=""$65,872""","=""10,612""",
"=""Telekom Austria AG Class A""","=""0.00608%""","=""$65,862""","=""8,730""",
"=""RusHydro PJSC""","=""0.00607%""","=""$65,671""","=""6,419,360""",
"=""REC Ltd.""","=""0.00605%""","=""$65,515""","=""48,940""",
"=""Westports Holdings Bhd.""","=""0.00602%""","=""$65,160""","=""70,300""",
"=""Gulf Bank KSCP""","=""0.00601%""","=""$65,044""","=""104,532""",
"=""Orora Ltd.""","=""0.00600%""","=""$64,963""","=""39,385""",
"=""Flight Centre Travel Group Ltd.""","=""0.00599%""","=""$64,843""","=""8,538""",
"=""Electricity Generating PCL (Foreign)""","=""0.00597%""","=""$64,604""","=""8,500""",
"=""Hitachi Capital Corp.""","=""0.00596%""","=""$64,531""","=""2,700""",
"=""Xinjiang Goldwind Science & Technology Co. Ltd. Class H""","=""0.00595%""","=""$64,363""","=""63,952""",
"=""Daido Steel Co. Ltd.""","=""0.00595%""","=""$64,412""","=""2,300""",
"=""ProSiebenSat.1 Media SE""","=""0.00593%""","=""$64,233""","=""6,225""",
"=""SAIC Motor Corp. Ltd. Class A""","=""0.00592%""","=""$64,095""","=""24,599""",
"=""Tadano Ltd.""","=""0.00591%""","=""$64,012""","=""8,000""",
"=""Turkiye Is Bankasi AS""","=""0.00589%""","=""$63,785""","=""92,747""",
"=""NH Investment & Securities Co. Ltd.""","=""0.00589%""","=""$63,709""","=""8,645""",
"=""VTech Holdings Ltd.""","=""0.00586%""","=""$63,480""","=""11,700""",
"=""Gamuda Bhd.""","=""0.00585%""","=""$63,308""","=""75,400""",
"=""Foschini Group Ltd.""","=""0.00585%""","=""$63,284""","=""15,479""",
"=""Japan Airlines Co. Ltd.""","=""0.00583%""","=""$63,131""","=""3,900""",
"=""Megacable Holdings SAB de CV""","=""0.00582%""","=""$63,004""","=""21,000""",
"=""Shanghai Electric Group Co. Ltd. Class H""","=""0.00581%""","=""$62,909""","=""204,000""",
"=""Luzhou Laojiao Co. Ltd. Class A""","=""0.00578%""","=""$62,564""","=""3,700""",
"=""Metcash Ltd.""","=""0.00576%""","=""$62,323""","=""32,068""",
"=""Doha Bank QPSC""","=""0.00575%""","=""$62,261""","=""95,650""",
"=""Lee & Man Paper Manufacturing Ltd.""","=""0.00574%""","=""$62,162""","=""101,000""",
"=""Sime Darby Bhd.""","=""0.00573%""","=""$62,007""","=""120,600""",
"=""Jiangsu Yanghe Brewery Joint-Stock Co. Ltd. Class A""","=""0.00572%""","=""$61,938""","=""3,200""",
"=""Grupo Aval Acciones y Valores Preference Shares""","=""0.00571%""","=""$61,778""","=""264,747""",
"=""Nisshinbo Holdings Inc.""","=""0.00570%""","=""$61,674""","=""10,400""",
"=""Nishi-Nippon Financial Holdings Inc.""","=""0.00568%""","=""$61,518""","=""9,900""",
"=""DB Insurance Co. Ltd.""","=""0.00566%""","=""$61,237""","=""1,549""",
"=""China Resources Power Holdings Co. Ltd.""","=""0.00565%""","=""$61,191""","=""48,000""",
"=""SDIC Power Holdings Co. Ltd. Class A""","=""0.00564%""","=""$61,031""","=""49,400""",
"=""China Coal Energy Co. Ltd. Class H""","=""0.00563%""","=""$60,943""","=""246,000""",
"=""Coty Inc. Class A""","=""0.00562%""","=""$60,863""","=""16,405""",
