Holding name,% of funds,Market value,Shares
Zimmer Biomet Holdings Inc.,"=""0.06173%""","$378,957","2,810.00"
Tesco plc,"=""0.06171%""","$378,824","132,947.00"
Hitachi Ltd.,"=""0.06169%""","$378,685","12,800.00"
EOG Resources Inc.,"=""0.06161%""","$378,173","8,072.00"
Yum! Brands Inc.,"=""0.06158%""","$378,040","4,152.00"
ING Groep NV,"=""0.06141%""","$376,963","54,068.00"
Tokio Marine Holdings Inc.,"=""0.06083%""","$373,408","8,900.00"
Otis Worldwide Corp.,"=""0.06065%""","$372,299","5,934.00"
Fast Retailing Co. Ltd.,"=""0.06045%""","$371,087",700.00
DSV Panalpina A/S,"=""0.06043%""","$370,963","2,695.00"
Kinder Morgan Inc.,"=""0.06042%""","$370,858","26,302.00"
Orsted A/S,"=""0.06040%""","$370,777","2,592.00"
Investor AB Class B,"=""0.06009%""","$368,842","6,243.00"
Kroger Co.,"=""0.05983%""","$367,243","10,556.00"
Phillips 66,"=""0.05971%""","$366,538","5,910.00"
Fastenal Co.,"=""0.05971%""","$366,536","7,792.00"
Nokia Oyj,"=""0.05967%""","$366,298","76,297.00"
Cintas Corp.,"=""0.05965%""","$366,168","1,213.00"
Rio Tinto Ltd.,"=""0.05955%""","$365,527","4,997.00"
Waste Connections Inc.,"=""0.05950%""","$365,271","3,574.00"
Willis Towers Watson plc,"=""0.05949%""","$365,207","1,739.00"
Transurban Group,"=""0.05943%""","$364,818","36,836.00"
American Water Works Co. Inc.,"=""0.05940%""","$364,641","2,476.00"
ANSYS Inc.,"=""0.05940%""","$364,644","1,174.00"
Trane Technologies plc,"=""0.05881%""","$361,004","3,227.00"
Koninklijke DSM NV,"=""0.05859%""","$359,682","2,347.00"
Volkswagen AG Preference Shares,"=""0.05847%""","$358,889","2,428.00"
Xilinx Inc.,"=""0.05799%""","$355,973","3,316.00"
Volvo AB Class B,"=""0.05763%""","$353,764","20,499.00"
Ford Motor Co.,"=""0.05757%""","$353,417","53,467.00"
Manulife Financial Corp.,"=""0.05757%""","$353,385","26,371.00"
Atlas Copco AB Class A,"=""0.05751%""","$353,008","7,978.00"
Credit Suisse Group AG,"=""0.05738%""","$352,254","32,988.00"
